,01 JAN 2016,02 JAN 2016,03 JAN 2016,04 JAN 2016,05 JAN 2016,06 JAN 2016,07 JAN 2016,08 JAN 2016,09 JAN 2016,10 JAN 2016,11 JAN 2016,12 JAN 2016,13 JAN 2016,14 JAN 2016,15 JAN 2016,16 JAN 2016,17 JAN 2016,18 JAN 2016,19 JAN 2016,20 JAN 2016,21 JAN 2016,22 JAN 2016,23 JAN 2016,24 JAN 2016,25 JAN 2016,26 JAN 2016,27 JAN 2016,28 JAN 2016,29 JAN 2016,30 JAN 2016,31 JAN 2016,01 FEB 2016,02 FEB 2016,03 FEB 2016,04 FEB 2016,05 FEB 2016,06 FEB 2016,07 FEB 2016,08 FEB 2016,09 FEB 2016,10 FEB 2016,11 FEB 2016,12 FEB 2016,13 FEB 2016,14 FEB 2016,15 FEB 2016,16 FEB 2016,17 FEB 2016,18 FEB 2016,19 FEB 2016,20 FEB 2016,21 FEB 2016,22 FEB 2016,23 FEB 2016,24 FEB 2016,25 FEB 2016,26 FEB 2016,27 FEB 2016,28 FEB 2016,29 FEB 2016
Digital Enterprise(L3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Track Download,18700,16500,12100,11000,6600,19800,27500,23100,30800,19800,135300,51700,25300,6600,9900,56100,31900,24200,23100,17600,13200,35200,23100,18700,19800,67100,16500,24200,9900,31900,80300,15400,97900,19800,34100,35200,39600,79200,26400,3300,15400,46200,38500,13200,3300,15400,23100,13200,17600,23100,123200,50600,39600,14300,30800,48400,18700,16500,29700,13200
LangitMusik BB Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LangitMusik Flash Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LangitMusik Unlimited,,,,,,,,6600,11000,,,3300,,22000,,,,3300,,,,,,,,3300,,,,,,,,6600,6600,,,11000,,,,,,,17600,,,,3300,,,,,,,,3300,3300,3300,
Music Package,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMS Content(L3),9900,4400,3300,1100,8800,14300,12100,19800,3300,23100,24200,14300,8800,18700,18700,11000,9900,20900,11000,13200,23100,5500,7700,13200,12100,8800,13200,26400,13200,5500,18700,19800,14300,19800,17600,20900,17600,5500,16500,13200,12100,13200,25300,13200,12100,13200,6600,12100,36300,15400,9900,13200,2200,6600,24200,13200,8800,9900,7700,5500
MMS to Email,11550,8250,6600,19800,9900,11550,18150,8250,13200,13200,21450,34650,8250,13200,4950,11550,4950,13200,9900,16500,8250,11550,9900,4950,,23100,19800,9900,6600,11550,9900,4950,6600,9900,9900,9900,26400,9900,13200,14850,11550,14850,11550,9900,28050,11550,11550,13200,4950,19800,4950,26400,19800,6600,11550,4950,9900,13200,9900,8250
Mobile Newspaper,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domestik MMS MO Eksternal,486250,420750,435500,411500,384500,366750,436012,475250,376250,355250,403250,492000,355750,424250,336500,406750,347318,336250,349250,316500,341000,357500,311250,394608,333250,365000,356250,415000,385750,410500,389500,319000,410250,412000,341250,374700,349500,428250,396000,373750,434250,401550,357000,399500,333500,353250,383500,357000,348500,351250,362250,329000,388500,283750,332000,313500,309750,385000,375500,386750
Domestik MMS MO Internal,3342520,3398000,3069700,3160750,3091250,3107750,3002650,3046400,3061750,2923750,3131310,3023000,3188250,2859830,2829000,2981250,2901250,2987500,3094872,3019500,3044000,3011250,2655190,2789750,3017705,2737177,2703000,2896975,2754750,2994000,2752000,3054354,3070750,2943068,2744000,3198150,3026000,2768012,2946100,2994800,3126250,3209000,2910450,3011830,2687800,3097750,3074500,3060300,2755850,2735250,2645500,2751750,3033500,2842355,2782026,2848750,2949500,2951000,2839209,2898880
International MMS MO,208000,148000,172000,132000,124000,146000,190000,160000,148000,222000,152000,196000,188000,148000,168000,148000,136000,186000,170000,120000,104000,102000,168000,194000,142000,134000,108000,126000,152000,158000,132000,184000,122000,148000,106000,140000,218000,188000,132000,156000,158000,130000,170000,142000,206000,144000,136000,112000,114000,120000,118000,202000,118000,120000,116000,140000,94000,114000,146000,116000
Microcampaign(Other VAS Service),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTT Services,9716571.87,4684824.48,5090669.12,4900237,8429270.88,4262611.71,5619531.43,4812043.68,6322629.99,5150879.69,5116229.48,5762751.75,5390440.97,8469380.5,4603443.32,4226132.15,5559496.37,3581448.15,3887749.58,3927946.1,4111627.36,7656912.76,6424795.04,3472383.53,4580302.12,3278776.62,6489063.37,5751243.05,4370935.21,5040985.31,6029059.35,5004706.73,5017542.4,5983151.37,5087955.85,7908096.68,6987200.8,4454708.2,5103552.17,5550396.01,6055159.51,5679658.41,5990670.24,6742045.43,5104491.36,4618637.6,4568377.76,3750474.88,5484616.63,5991542.86,4859114.25,5839539.05,4653452.63,4394770.47,5380199.66,5873982.53,6162254.4,5143415.67,4704280.79,5429196.8
Phonebook Backup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAS Content,751393,850783,663718,827305,840468,791864,714073,933564,916800.5,910033,709036,835854,805503,757411,867646,800117,764871,781012.5,870509,803152,642123,854596,896204,644923,753944,591030.5,681402,766412,755000,810747,604284,755513,774316,669785,773211,804788,733543,818617,707997,856655,602177.5,621206,827913,786250,737961,718628,868292,791598,761851,687526,796540,764318,778199,756911,693949,721861,900809,729786,637636,790390
Content RBT,6371250,7475366,7893006,8966170,8999450,8569230,8581130,8099730,8348316,8290938,9377390,9315778,8255510,8483720,10066060,8924350,7971000,9771800,9056760,8522610,8725686,8490520,7738018,7383710,8928818,8468710,8074138,8346230,8430748,8127580,7448340,8594100,7756644,7940918,8314510,8218110,8169620,7505338,7908410,8356910,8192640,8570230,8128060,8259188,8234770,8105080,8226318,8176030,8329920,8408860,9084690,7502830,8019730,8060530,8141230,8249810,11565040,16863630,8226520,8000660
Emoticon SMS,3300,2200,11000,2200,0,6600,330,1100,0,0,5500,1100,6600,1100,1100,5500,,,16500,,1100,1100,1100,0,1100,11000,5500,1100,13200,6600,9900,11000,8800,8800,19800,4400,13200,4400,12100,4400,7700,8800,8800,13200,11000,9900,3300,16500,4400,6600,7700,3300,4400,1100,1100,1100,,1100,6600,4400
Other SMS Non P2P,16610,14245,7260,8360,7275,9350,5200,7605,14040,11165,7040,5885,6820,5610,7150,9530,4895,5295,5500,5390,5830,6490,15840,5885,5790,4180,3685,5335,9460,10230,15580,5775,4290,5625,6050,4195,5240,8595,4290,5185,8210,11140,4950,3190,4870,12500,13255,6050,4070,9460,9405,8415,4510,6765,8635,7535,9130,9475,11000,11000
SMS Banking,4967750,5066050,4328700,9622650,8301450,7612350,7767550,7846300,5672050,4374100,7734300,6949400,7028000,6693050,7210900,5287750,4092700,6937000,6797100,7062200,6443500,7102150,5449550,3847900,8370050,7390650,7297950,7508300,8199500,6093900,4499750,10353000,7707650,7298650,7252050,8004150,6087850,4277650,4536700,7333000,7237750,6386600,6899050,5755400,4230100,7581450,6925900,6822400,6334550,6537350,5410500,3885950,6696450,6431250,6885400,9006050,8686200,6373150,4553550,8539600
SMS Content,6031085,6000673,6129135,6163155,5709635,5988150,5916265,5788433,5878311,6109475,5703700,5862748,5754315,5681840,5734388,6162560,5510220,6092948,5941205,5739500,5896130,5663295,5561608,5288510,5990268,3148659,5195015,5199288,5348365,5954600,5850166,6437640,5954116,5521176,5904218,6395775,5783910,5105366,6376260,5867850,6114095,6302879,6322720,6173740,5904480,6296698,5908335,6203455,6204155,6460955,6395803,5680840,6287525,6548971,5996049,6668196,6528655,6637210,6040645,6232991
SMS Donasi,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,,
SMS Gift,2123000,2647000,2836500,5794000,3755000,3021500,2827000,2268000,2296500,2297500,5734000,3548000,2452500,2756000,2404000,2690000,2248000,5427000,3407000,2829000,2430500,2513500,2471500,2340500,5227000,3373500,2747000,2658000,2366000,2399000,2414000,5783000,3322000,2839000,2496000,2608500,2484000,2381500,2138000,5093000,3008500,2679500,2554000,2405500,2010000,5633500,3614000,3070500,2908500,2503500,2148500,2519500,5199500,3149000,3015000,2946500,2839500,2624000,2716000,5183000
SMS Group,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMS Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMS Newspaper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMS Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMS Pro,437150,509600,417850,555150,545650,556800,551150,562500,481550,441150,518300,486050,489350,556350,501700,447100,502800,546150,542150,527450,573350,484600,519850,466800,561950,572550,562750,562250,534000,578900,470300,606500,597150,522150,563650,504800,518650,441650,500700,526700,544550,525600,499950,553700,510600,523850,519200,505950,554500,521200,524750,473050,529400,552350,510550,571350,511450,507350,474000,570350
SMS Profiling,,2200,,,,2200,,,,,,,,,,,,,,,4400,,,,,,,2200,2200,,,,,,,,,2200,,,,,,,,,,,2200,,,2200,,,,,,,,
SMS RBT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMS T-Cash,6594,14646,6937,9898,4849,7945,4347,5494,2095,3599,4300,5647,10197,10349,6745,4296,9336,17944,10099,6045,9450,9399,7848,9750,6494,4800,6249,7600,4400,26847,29593,15445,9998,3550,6048,13300,11399,9146,8292,5049,11600,9147,8500,7296,2850,3450,6146,5246,15900,11996,20592,16497,9694,6397,3149,6047,10400,15095,5146,5300
Web 2 SMS Community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web 2 SMS Corporate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prepaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS(Transfer Pulsa),2391000,2301000,2359500,2351400,2192400,2117100,1998900,2124900,2117700,1832700,1991100,1980300,1526700,2392200,2106000,2038500,1889700,2064300,1893000,1881900,2000400,2009700,1954200,1793400,1872000,1808100,1904100,1976400,1963500,1955400,1797300,2026800,2006700,1982100,2066700,2033700,2091000,2070900,1818000,1985700,1938900,2055600,2086500,1987200,1886100,1950600,1950900,1911900,2034300,1826700,1915500,1812600,1911600,1856100,1882800,1954500,2236800,1945500,2014200,2006700
Simpati(Transfer Pulsa),3992250,4404500,3843000,4124550,3399600,3567000,3382500,3451500,3093900,2987700,3298200,3041400,2221200,3859200,3435300,3259800,3144600,3264600,3276000,3088200,3600300,3561300,3135300,3107400,3160200,3026400,3303000,3508500,3357000,3347700,3057900,3181800,3438600,3338700,3480000,3786900,3548400,3148500,3054600,3728100,3291900,3998700,4050300,4330200,3158100,4302600,3495000,3246600,3553800,3586800,3445200,3001500,3350700,3315300,3318900,3468300,4057500,4124700,4288800,3570600
AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simpat(L3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USSD Charging,440865,464910,448710,472205,440670,425230,426670,421415,414505,415190,441095,417120,388635,402170,405225,410860,394495,500500,421155,417485,413260,416455,408005,416065,411055,423455,416270,404360,412670,440970,408385,434240,407325,409515,404850,425980,434795,419800,424830,416980,432870,407865,433690,407545,406010,407955,422840,409650,404750,403375,413540,409665,431100,393580,396420,404480,402745,411915,398355,404655
3G Mobile TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Content Video Call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2P Video Call,,2500,5000,,2500,,2500,,10000,5000,10000,2500,2500,7500,5000,5000,,2500,5000,5000,5000,2500,,7500,,2500,2500,,10000,5000,5000,10000,2500,,5000,5000,2500,2500,2500,2500,,2500,2500,,,,5000,2500,2500,2500,5000,5000,5000,2500,2500,10000,2500,7500,2500,2500
IVR Banking,148950,280800,187650,487800,330300,282600,264600,409050,341100,142650,213300,304200,264600,352350,218700,231750,192600,216000,282600,260100,292050,286200,190350,111150,331200,228150,248850,317700,321750,218250,211050,305550,229500,215550,290700,383850,226800,147150,148950,206550,256950,194850,135000,212400,92250,387000,360900,185400,252900,252000,280800,117000,351900,196650,226350,279900,264600,195750,109350,246150
IVR Content MDS,41050,93150,45900,49800,17800,33250,21250,14600,49000,37900,35775,44750,17925,23575,27350,23450,34750,23350,65850,20850,19400,15400,39650,33675,19850,18075,34850,18750,35150,16400,37400,43050,14000,20800,13650,17200,23450,30475,19850,12000,15200,29275,27750,39700,30025,29750,19150,19075,10850,24150,54650,28350,18300,23900,13700,12700,32650,65800,47800,12350
