,01 FEB 2016,02 FEB 2016,03 FEB 2016,04 FEB 2016,05 FEB 2016,06 FEB 2016,07 FEB 2016,08 FEB 2016,09 FEB 2016,10 FEB 2016,11 FEB 2016,12 FEB 2016,13 FEB 2016,14 FEB 2016,15 FEB 2016,16 FEB 2016,17 FEB 2016,18 FEB 2016,19 FEB 2016,20 FEB 2016,21 FEB 2016,22 FEB 2016,23 FEB 2016,24 FEB 2016,25 FEB 2016,26 FEB 2016,27 FEB 2016,28 FEB 2016,29 FEB 2016
Digital Enterprise(L3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Track Download,15400,97900,19800,34100,35200,39600,79200,26400,3300,15400,46200,38500,13200,3300,15400,23100,13200,17600,23100,123200,50600,39600,14300,30800,48400,18700,16500,29700,13200
LangitMusik BB Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LangitMusik Flash Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LangitMusik Unlimited,,,6600,6600,,,11000,,,,,,,17600,,,,3300,,,,,,,,3300,3300,3300,
Music Package,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMS Content(L3),19800,14300,19800,17600,20900,17600,5500,16500,13200,12100,13200,25300,13200,12100,13200,6600,12100,36300,15400,9900,13200,2200,6600,24200,13200,8800,9900,7700,5500
MMS to Email,4950,6600,9900,9900,9900,26400,9900,13200,14850,11550,14850,11550,9900,28050,11550,11550,13200,4950,19800,4950,26400,19800,6600,11550,4950,9900,13200,9900,8250
Mobile Newspaper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domestik MMS MO Eksternal,319000,410250,412000,341250,374700,349500,428250,396000,373750,434250,401550,357000,399500,333500,353250,383500,357000,348500,351250,362250,329000,388500,283750,332000,313500,309750,385000,375500,386750
Domestik MMS MO Internal,3054354,3070750,2943068,2744000,3198150,3026000,2768012,2946100,2994800,3126250,3209000,2910450,3011830,2687800,3097750,3074500,3060300,2755850,2735250,2645500,2751750,3033500,2842355,2782026,2848750,2949500,2951000,2839209,2898880
International MMS MO,184000,122000,148000,106000,140000,218000,188000,132000,156000,158000,130000,170000,142000,206000,144000,136000,112000,114000,120000,118000,202000,118000,120000,116000,140000,94000,114000,146000,116000
Microcampaign(Other VAS Service),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTT Services,5004706.73,5017542.4,5983151.37,5087955.85,7908096.68,6987200.8,4454708.2,5103552.17,5550396.01,6055159.51,5679658.41,5990670.24,6742045.43,5104491.36,4618637.6,4568377.76,3750474.88,5484616.63,5991542.86,4859114.25,5839539.05,4653452.63,4394770.47,5380199.66,5873982.53,6162254.4,5143415.67,4704280.79,5429196.8
Phonebook Backup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAS Content,755513,774316,669785,773211,804788,733543,818617,707997,856655,602177.5,621206,827913,786250,737961,718628,868292,791598,761851,687526,796540,764318,778199,756911,693949,721861,900809,729786,637636,790390
Content RBT,8594100,7756644,7940918,8314510,8218110,8169620,7505338,7908410,8356910,8192640,8570230,8128060,8259188,8234770,8105080,8226318,8176030,8329920,8408860,9084690,7502830,8019730,8060530,8141230,8249810,11565040,16863630,8226520,8000660
Emoticon SMS,11000,8800,8800,19800,4400,13200,4400,12100,4400,7700,8800,8800,13200,11000,9900,3300,16500,4400,6600,7700,3300,4400,1100,1100,1100,,1100,6600,4400
Other SMS Non P2P,5775,4290,5625,6050,4195,5240,8595,4290,5185,8210,11140,4950,3190,4870,12500,13255,6050,4070,9460,9405,8415,4510,6765,8635,7535,9130,9475,11000,11000
SMS Banking,10353000,7707650,7298650,7252050,8004150,6087850,4277650,4536700,7333000,7237750,6386600,6899050,5755400,4230100,7581450,6925900,6822400,6334550,6537350,5410500,3885950,6696450,6431250,6885400,9006050,8686200,6373150,4553550,8539600
SMS Content,6437640,5954116,5521176,5904218,6395775,5783910,5105366,6376260,5867850,6114095,6302879,6322720,6173740,5904480,6296698,5908335,6203455,6204155,6460955,6395803,5680840,6287525,6548971,5996049,6668196,6528655,6637210,6040645,6232991
SMS Donasi,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,,
SMS Gift,5783000,3322000,2839000,2496000,2608500,2484000,2381500,2138000,5093000,3008500,2679500,2554000,2405500,2010000,5633500,3614000,3070500,2908500,2503500,2148500,2519500,5199500,3149000,3015000,2946500,2839500,2624000,2716000,5183000
SMS Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMS Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMS Newspaper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMS Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMS Pro,606500,597150,522150,563650,504800,518650,441650,500700,526700,544550,525600,499950,553700,510600,523850,519200,505950,554500,521200,524750,473050,529400,552350,510550,571350,511450,507350,474000,570350
SMS Profiling,,,,,,,2200,,,,,,,,,,,2200,,,2200,,,,,,,,
SMS RBT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMS T-Cash,15445,9998,3550,6048,13300,11399,9146,8292,5049,11600,9147,8500,7296,2850,3450,6146,5246,15900,11996,20592,16497,9694,6397,3149,6047,10400,15095,5146,5300
Web 2 SMS Community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web 2 SMS Corporate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prepaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS(Transfer Pulsa),2026800,2006700,1982100,2066700,2033700,2091000,2070900,1818000,1985700,1938900,2055600,2086500,1987200,1886100,1950600,1950900,1911900,2034300,1826700,1915500,1812600,1911600,1856100,1882800,1954500,2236800,1945500,2014200,2006700
Simpati(Transfer Pulsa),3181800,3438600,3338700,3480000,3786900,3548400,3148500,3054600,3728100,3291900,3998700,4050300,4330200,3158100,4302600,3495000,3246600,3553800,3586800,3445200,3001500,3350700,3315300,3318900,3468300,4057500,4124700,4288800,3570600
AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simpat(L3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USSD Charging,434240,407325,409515,404850,425980,434795,419800,424830,416980,432870,407865,433690,407545,406010,407955,422840,409650,404750,403375,413540,409665,431100,393580,396420,404480,402745,411915,398355,404655
3G Mobile TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Content Video Call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2P Video Call,10000,2500,,5000,5000,2500,2500,2500,2500,,2500,2500,,,,5000,2500,2500,2500,5000,5000,5000,2500,2500,10000,2500,7500,2500,2500
IVR Banking,305550,229500,215550,290700,383850,226800,147150,148950,206550,256950,194850,135000,212400,92250,387000,360900,185400,252900,252000,280800,117000,351900,196650,226350,279900,264600,195750,109350,246150
IVR Content MDS,43050,14000,20800,13650,17200,23450,30475,19850,12000,15200,29275,27750,39700,30025,29750,19150,19075,10850,24150,54650,28350,18300,23900,13700,12700,32650,65800,47800,12350
IVR Internal,53150,34225,20875,20050,33125,36675,22475,33675,40375,32150,20800,29050,22300,38625,32800,27300,33675,23725,30250,21800,30000,32750,29175,18050,31275,34550,28650,32350,26275
IVR Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVR RBT,59850,89250,50400,58800,46900,57750,56875,53725,73150,58975,65275,76125,63525,49175,48650,50050,60725,46900,46375,52150,61775,47950,50400,13650,97650,124250,95375,70700,69125
IVR Svara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
