,01 APR 2016,02 APR 2016,03 APR 2016,04 APR 2016,05 APR 2016,06 APR 2016,07 APR 2016,08 APR 2016,09 APR 2016,10 APR 2016,11 APR 2016,12 APR 2016,13 APR 2016,14 APR 2016,15 APR 2016,16 APR 2016,17 APR 2016,18 APR 2016,19 APR 2016,20 APR 2016,21 APR 2016,22 APR 2016,23 APR 2016,24 APR 2016,25 APR 2016,26 APR 2016,27 APR 2016,28 APR 2016,29 APR 2016,30 APR 2016
Digital Enterprise(L3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Track Download,6600,4400,19800,12100,8800,,9900,11000,44000,33000,50600,14300,38500,29700,33000,26400,52800,11000,118800,26400,20900,19800,26400,26400,41800,17600,22000,30800,9900,20900
LangitMusik BB Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LangitMusik Flash Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LangitMusik Unlimited,3300,,,,,,,3300,,,14300,,,,3300,,,,14300,22000,,11000,,3300,3300,11000,6600,,11000,
Music Package,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMS Content(L3),11000,5500,17600,12100,14300,13200,8800,8800,3300,11000,12100,1100,17600,6600,4400,5500,15400,17600,5500,7700,7700,2200,5500,7700,12100,3300,7700,11000,2200,11000
MMS to Email,13200,21450,8250,4950,13200,11550,29700,21450,13200,3300,6600,6600,18150,23100,14850,14850,9900,13200,18150,16500,14850,16500,3300,6600,1650,16500,8250,6600,11550,23100
Mobile Newspaper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domestik MMS MO Eksternal,315250,369750,364750,366750,341000,355000,315500,369250,364000,378250,282750,317500,340750,375000,342750,278750,285750,354500,331750,339000,371000,357750,400250,332250,386750,339500,320000,316750,302750,362000
Domestik MMS MO Internal,2550363,2802000,2790285,3019500,2770500,2672250,2531500,2921810,2557640,2703556,2668500,2719960,2660000,2802250,2683590,2448000,2855750,2806000,2770500,2832750,2871250,2543000,2674750,2631910,2848210,2742500,2507850,2679750,2635500,2929000
International MMS MO,172000,138000,110000,146000,108000,166000,100000,184000,128000,196000,122000,110000,126000,102000,100000,132000,120000,124000,126000,106000,132000,132000,156000,184000,142000,98000,170000,130000,86000,126000
Microcampaign(Other VAS Service),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTT Services,8294280.79,7147259.06,7468480.46,4290676.8,5712894.89,4758223.2,4946018.88,4641237.11,7538953.45,5114386.53,5798795.37,5757066.24,5614137.61,5442158.56,5019649.77,4928182.24,4002343.51,3968855.36,4901966.53,4820159.68,5025912,5849626.55,7337353.45,4789961.77,5379397.77,5577700.16,3613546.88,4350499.69,5340689.28,4533474.08
Phonebook Backup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAS Content,746057,715827,748210,736881,699334,682452,792406,758464,574060,468443,507813,459433,398730,442004,507962,443944,356100,360172,496138,659231,598125,640000,650404,660131,707599,619411,680317,763905,636602,844283
Content RBT,8549360,8082134,8051458,8351970,8257890,8460758,8490710,8047458,7849790,8157990,8347516,8408290,8243190,8388010,8235310,8182040,7887850,8822790,9253490,8548708,8329340,7988760,8203318,8029870,9002670,8591450,8433190,8589030,7999050,7824810
Emoticon SMS,2200,3300,3300,,,1100,,6820,1100,,0,0,0,3300,,0,,,0,5500,,,3300,0,,0,5500,1100,1100,2200
Other SMS Non P2P,12610,6380,6285,6945,5170,7755,17105,23540,20900,13420,10615,5350,6820,11825,9570,8965,9515,9295,8305,4730,5720,7590,8085,6765,5775,14480,22825,13585,19855,12870
SMS Banking,10172400,6376250,4446900,7708600,7621450,7282950,6949550,7688850,5889400,4211150,7283100,6839950,6736150,6784250,7381000,5209600,3761900,7021800,7034150,7036000,7008150,7379100,5535700,4060950,8823700,7670150,7478500,7632300,8249550,6650450
SMS Content,5418115,5956820,4621280,6748013,8432448,6213945,6772765,6092515,5567185,6018794,5436355,5940365,5886005,6150770,6289405,6105223,5886825,5903790,5866856,6151965,6091215,6252555,6295270,5903665,6296765,6541550,5975620,6035756,6578908,6296990
SMS Donasi,,,,,,,,,,,,,,,,,25000,45000,55000,15000,20000,,5000,10000,10000,15000,25000,20000,50000,15000
SMS Gift,3014500,2716000,2668000,5489500,3536000,3118000,3023000,2791500,2602500,2649500,5719000,3632500,3372000,2631500,2803500,2729000,2163500,5139000,3693500,3079000,3057500,3000500,2252500,2098500,5969000,3500500,3168000,3437500,2787000,2229000
SMS Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMS Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMS Newspaper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMS Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMS Pro,504650,509250,447100,576500,562800,596350,1120750,979350,1054750,1008950,1149450,1081650,1070050,1067200,978000,904200,828700,1050200,43550,873750,1093950,973550,999400,873300,1041350,980350,1014250,1046600,715300,668800
SMS Profiling,,,,,,,,,,2200,2200,,,6600,,,,,,,,,,,,,,,,
SMS RBT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMS T-Cash,5450,5350,6496,3897,3950,4149,4150,5149,6149,5200,4850,3549,4498,7000,600,2898,2048,1795,1849,1648,1596,448,1900,598,2300,2549,3447,1598,3250,150
Web 2 SMS Community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web 2 SMS Corporate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prepaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS(Transfer Pulsa),1969200,1897200,1946700,1855800,1890600,2072400,2075700,2081400,2009100,1833600,1881300,2100300,1920900,2049600,1993500,1842300,1836600,1929900,1939200,2212500,2125800,2106600,2238900,1928700,2175600,2319900,2418600,2215500,2113800,2176500
Simpati(Transfer Pulsa),3407400,3281700,3024000,3573900,3173100,3479400,3458400,3509600,3025200,3056700,3631500,3408300,3633300,3506700,3544200,3549600,3272400,4016100,3278100,3605400,4087500,3197400,2990400,2931900,3334200,3369900,3711900,4291500,3709800,3470400
AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simpat(L3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USSD Charging,402550,405750,372015,401565,388670,389145,392440,391375,385375,400015,376520,422915,412520,406455,410175,413445,423255,437440,411515,408725,402495,397000,414460,396335,395570,394865,389390,400555,401175,403940
3G Mobile TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Content Video Call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2P Video Call,2500,2500,5000,2500,5000,,2500,,,,,,,2500,,5000,,,2500,5000,5000,5000,2500,2500,2500,5000,5000,2500,7500,2500
IVR Banking,280800,335700,171450,341100,255600,287100,364950,342000,351900,174150,179550,281250,179550,238500,262350,217800,134100,225000,173700,243000,216000,271350,292050,105750,168300,221400,209700,271800,340650,235350
IVR Content MDS,38350,31050,32500,22300,28400,18150,16300,11750,17250,54050,10150,38900,20650,32800,34650,24050,28000,32625,20600,20525,19150,27150,42550,46950,23100,22700,12125,5450,28325,23500
IVR Internal,24550,31975,21300,28100,22100,27950,23725,26025,22550,26175,25250,28875,18800,26975,23800,34525,24250,25875,20200,26925,30475,28725,27450,28475,40775,21975,34725,45125,35225,31150
IVR Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
