,01 MAY 2016,02 MAY 2016,03 MAY 2016,04 MAY 2016,05 MAY 2016,06 MAY 2016,07 MAY 2016,08 MAY 2016,09 MAY 2016,10 MAY 2016,11 MAY 2016,12 MAY 2016,13 MAY 2016,14 MAY 2016,15 MAY 2016,16 MAY 2016,17 MAY 2016,18 MAY 2016,19 MAY 2016,20 MAY 2016,21 MAY 2016,22 MAY 2016,23 MAY 2016,24 MAY 2016,25 MAY 2016,26 MAY 2016,27 MAY 2016,28 MAY 2016,29 MAY 2016,30 MAY 2016,31 MAY 2016
Digital Enterprise(L3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Track Download,27500,2200,5500,30800,14300,6600,5500,6600,5500,67100,96800,50600,2200,29700,35200,93500,3300,12100,15400,6600,19800,16500,3300,0,39600,9900,92400,20900,39600,17600,8800
LangitMusik BB Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LangitMusik Flash Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LangitMusik Unlimited,17600,11000,0,0,3300,0,,11000,3300,0,0,0,3300,0,0,5500,0,0,0,3300,0,11000,0,3300,0,11000,0,0,0,0,0
Music Package,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMS Content(L3),4400,5500,11000,12100,3300,11000,6600,7700,3300,13200,7700,5500,11000,1100,2200,5500,6600,9900,5500,3300,7700,,4400,4400,4400,1100,3300,13200,2200,8800,11000
MMS to Email,8250,8250,18150,6600,13200,8250,8250,9900,14850,11550,9900,8250,13200,9900,14850,8250,14850,9900,13200,4950,9900,3300,9900,14850,9900,19800,36300,13200,3300,9900,9900
Mobile Newspaper,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
Domestik MMS MO Eksternal,336000,358250,336250,315750,364250,313750,308750,301000,298000,305000,340250,318250,326500,326500,312750,353500,352000,276000,327000,300000,297500,319250,268750,332000,306250,303000,348250,311750,366000,453500,324500
Domestik MMS MO Internal,2694000,2777750,2862500,2730648,2605250,2697890,2840000,2663198,2702650,2721000,2834500,2657932,2761500,2689250,2698750,2702855,2817750,2660750,2605500,2948750,2893500,2557558,2951350,2834500,2930250,3035750,2665578,2844500,3009491,2909750,2626326
International MMS MO,106000,100000,108000,116000,106000,120000,152000,176000,106000,78000,106000,102000,130000,78000,100000,116000,102000,156000,94000,158000,128000,170000,138000,160000,178000,98000,96000,110000,136000,58000,90000
Microcampaign(Other VAS Service),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTT Services,6043171,5909696,5174538,5959655,4951758,5575736,4693907,4934466,5540773,6726328,5542278,4759550,5712551,7574017,5524333,5008949,4054702,4414530,4613171,4728267,8098203,5758344,6912785,5611211,4366452,4589907,7344206,5983394,5655050,6906201,7519194
Phonebook Backup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAS Content,675838,671748,678778,716662,670390,835272,701458,737468,799399,1044061,2415295,2817079,3770139,2534528,3068269,3079075,4128451,3592536,3648876,3061521,3498436,2910649,3613514,2994339,3253990,792809,804051,866250,977223,751938,973471
Content RBT,7803028,9043338,8134050,8462268,8397310,8094470,8117140,7985758,8255290,9075630,8543610,8597720,7828980,8516064,8252450,8602668,7814400,8252640,8431478,8118420,7637150,7420360,7917830,8726868,8339830,8558678,8228578,8467160,7417946,8743130,9447000
Emoticon SMS,2200,1100,1100,2200,1100,0,0,3300,1100,2200,1100,2200,2200,0,4400,0,0,0,1100,2200,1100,3300,7700,4400,1100,6600,3300,3300,2200,3300,2200
Other SMS Non P2P,10945,12610,16020,12995,10725,17765,19525,13655,8980,8195,11825,13585,9185,7935,9130,11770,18785,10780,13035,7920,6490,8855,18040,15455,11055,12720,19195,15125,16500,18535,8885
SMS Banking,5424550,9952750,8441700,8725250,5705350,4943500,5381000,4195600,8104000,7634850,7040900,7045850,7501050,5804200,4114800,7308000,7052150,7041550,7160600,7453050,5754050,4138350,7526550,7702500,9176000,7477750,7889100,6096200,4538400,7704000,7879950
SMS Content,6271900,6627695,6024948,5851370,6209815,6775765,6997330,6150956,6514105,6543233,6590415,6623720,5791580,6030730,5972765,6166565,5871910,5883280,6060908,8074310,6994287,5963170,6348811,6303311,5968030,6488175,7385655,6033105,6691023,6595210,6207391
SMS Donasi,10000,,10000,,,25000,25000,40000,45000,160000,25000,40000,15000,20000,10000,25000,35000,15000,20000,30000,15000,25000,10000,,10000,15000,5000,10000,30000,,20000
SMS Gift,2729000,5578000,2419000,4252500,3031000,2349000,2963500,2978000,6078000,3735000,3066500,2933500,2919000,2972500,2785500,6332500,3583000,3124500,2861000,2875500,2797500,2896000,6166000,3746000,3332000,3167000,2782000,2730500,2758500,6148500,3381500
SMS Group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMS Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMS Newspaper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMS Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMS Pro,944700,985650,963050,974900,887900,802050,979950,881850,1059450,939450,972050,1015000,984900,994650,896700,1065250,1001800,1052800,1027750,962700,980250,932500,1057150,916000,962850,994550,971500,981050,962700,1091950,1053250
SMS Profiling,,,,,,,,,,2200,,,,,,,,,,,2200,,,,,,,,,,
SMS RBT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMS T-Cash,3098,3150,1999,2446,1000,2150,7049,4746,2000,1349,2250,7090,6199,4100,2697,850,2550,3450,2300,3095,2598,2450,2150,2700,1550,600,599,4349,2598,2299,449
Web 2 SMS Community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web 2 SMS Corporate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prepaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS(Transfer Pulsa),2000700,2139600,1583400,1803000,1758000,1617900,2065500,1887900,2300400,1942800,1983300,2280000,2135100,2066400,1821000,2056500,1873200,2159100,2271900,2252100,2020800,1717800,2448000,2129100,2097000,2054700,1842300,1759200,1688400,1882500,1929900
Simpati(Transfer Pulsa),3164400,4647600,2749500,3013200,2652600,2689800,2520900,2431800,2890500,2985900,3345300,4524000,3015900,2826300,2701200,2686800,3549900,3213300,2970900,3712200,3364800,2903400,3547800,3828600,4576500,4335600,3564000,3229500,2870400,3285900,4003200
AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simpat(L3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USSD Charging,384525,403835,399860,383660,372400,369090,405325,381105,402530,386630,384780,393535,391170,395965,391880,395540,393485,398610,417860,371020,395230,394175,398215,416640,406230,406095,387680,418635,392120,410420,423820
3G Mobile TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Content Video Call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2P Video Call,,2500,7500,2500,7500,7500,7500,10000,10000,7500,2500,2500,,2500,7500,,2500,5000,,,,,2500,5000,,2500,2500,7500,2500,2500,5000
IVR Banking,255150,315900,263700,297000,277200,220950,173250,176400,260550,146250,258300,329850,362700,182250,133200,220500,219150,116550,283950,300600,384300,91350,378000,406800,274950,277200,265500,212400,234450,241650,274950
IVR Content MDS,26650,5800,12700,24950,36050,25650,55900,60450,16400,8200,20300,28350,28550,24500,34525,24200,29350,31150,17600,37000,41400,24950,29950,32100,31275,20250,55750,62150,27275,41625,28000
IVR Internal,32700,39250,36100,42050,30100,31500,31675,22050,17500,21700,17500,13825,10675,26600,24600,25200,27125,22225,19075,20300,27475,22400,21525,19425,20475,25025,16450,21000,23625,18375,26075
IVR Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVR RBT,60725,44625,60025,58275,49000,52675,58275,54600,58450,55475,58975,64050,58450,53900,71575,50575,61425,47600,65625,53550,66325,55125,48475,53725,68775,64750,64400,48650,56000,59500,56350
IVR Svara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
