,01 JUN 2016,02 JUN 2016,03 JUN 2016,04 JUN 2016,05 JUN 2016,06 JUN 2016,07 JUN 2016,08 JUN 2016,09 JUN 2016,10 JUN 2016,11 JUN 2016,12 JUN 2016,13 JUN 2016,14 JUN 2016,15 JUN 2016,16 JUN 2016,17 JUN 2016,18 JUN 2016,19 JUN 2016,20 JUN 2016,21 JUN 2016,22 JUN 2016,23 JUN 2016,24 JUN 2016,25 JUN 2016,26 JUN 2016,27 JUN 2016,28 JUN 2016,29 JUN 2016,30 JUN 2016
Digital Enterprise(L3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Track Download,3300,9900,12100,15400,16500,13200,9900,9900,28600,95700,5500,20900,13200,13200,35200,19800,20900,17600,172700,12100,26400,6600,18700,0,36300,16500,162800,22000,20900,19800
LangitMusik BB Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LangitMusik Flash Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LangitMusik Unlimited,0,11000,3300,3300,0,0,3300,0,22000,0,0,11000,0,0,11000,11000,14300,0,3300,3300,14300,0,0,0,3300,6600,0,3300,11000,3300
Music Package,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMS Content(L3),2200,13200,14300,6600,3300,2200,7700,6600,4400,2200,5500,4400,5500,7700,1100,,1100,2200,8800,14300,4400,4400,4400,11000,1100,7700,11000,3300,3300,3300
MMS to Email,19800,9900,36300,6600,11550,6600,11550,8250,4950,3300,14653,6600,21450,11550,9900,9900,6600,8250,9900,4950,3300,4950,6600,9900,13200,13200,21450,13200,4950,11550
Mobile Newspaper,,,,,,,,,,,,,,,,,,,,,,,,,,200000,,,,
Domestik MMS MO Eksternal,374750,374000,404000,358490,438500,412750,377250,377500,322250,327750,301000,340250,349750,322500,268000,313750,344750,299000,267000,377495,403250,352500,399250,353000,345000,387750,432000,410750,376000,393500
Domestik MMS MO Internal,3038750,2912700,3122830,2884500,3251562,2632750,2601250,2661765,2469500,2562000,2510250,2447228,2664750,2771250,2721000,2793352,2696500,2493750,2378750,2622990,2558500,2652250,2505670,2348000,2518500,2539750,2692250,2597750,2555500,2606170
International MMS MO,160000,136000,138000,108000,138000,106000,70000,100000,92000,128000,110000,124000,134000,86000,114000,106000,86000,76000,108000,110000,84000,74000,100000,86000,92000,144000,98000,78000,102000,76000
Microcampaign(Other VAS Service),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTT Services,7388560.34,6524255.35,6095843.65,5695640.01,6043637.83,6262949.52,6096772.51,9949773.71,6380364.32,6579246.73,7087605.73,7831312.55,8950258.37,6282665.46,8213315.52,8002838.05,8819988,6898230.22,5583732.15,6703897.29,5861501.09,6186348.95,8354513.38,7437188.45,7229350.14,12758119.13,6891130.73,9518228.01,7656633.82,10656979.25
Phonebook Backup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAS Content,814164,938726,811724,805226,858437,771194,958365,624759,647742,869929,791657,798195,823497,727762,911524,691443,594437,903882,955225,704789,768546,670201,656638,579496,648423,736087,771385,945761,715763,759620
Content RBT,8761030,9194418,8689630,8780458,8441690,8916300,9340040,8490480,8981860,8824158,8930448,8395510,9639880,9627628,9392588,9150350,9119568,9826008,8445672,10591288,9402150,10518200,9879018,9094978,8874498,8602320,9401736,9415590,10142628,11015860
Emoticon SMS,,3300,0,3300,1100,1100,4400,0,1100,0,1100,6600,1100,0,0,0,2200,2200,2200,4400,5500,2970,4400,2200,1100,4400,4400,7700,0,3300
Other SMS Non P2P,11275,13560,9405,8980,9735,13050,14850,13695,9900,15345,16280,13600,11510,12375,13310,16995,18535,12540,13090,21725,13545,11070,15895,13530,19690,28780,34980,23595,25245,24090
SMS Banking,10021350,7738600,7863750,6186950,4659250,7152000,7327300,7020500,7263800,7942750,5802600,4247350,7487150,6948650,7310900,7650250,8162400,6096350,4707150,8582150,8253300,8917450,8624800,10773650,7715850,5189500,9136100,10039550,9861850,10319350
SMS Content,6369220,6679423,6350355,7228245,6071490,6669525,6798270,6658078,6641080,6760443,6580990,5966717,6543135,6479926,6115228,6753530,6762150,6911506,6502290,6987644,6576740,6957210,6769568,6581789,7165390,6856709,7174465,6383880,7163436,3551474
SMS Donasi,5000,10000,20000,15000,5000,20000,15000,15000,,15000,10000,5000,25000,15000,10000,30000,,,15000,5000,5000,,,,21000,,15000,15000,5000,25000
SMS Gift,3030000,3141000,3019500,2826000,2605000,5227000,3734000,3167500,3337000,2746500,2649000,2654000,6021500,3656500,3532000,3101500,2847000,2571000,2855500,6288000,3674000,3339000,3208500,2684000,2743000,3029000,6054000,1807000,4049000,3683000
SMS Group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMS Music,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
SMS Newspaper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMS Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
