,01 AUG 2016,02 AUG 2016,03 AUG 2016,04 AUG 2016,05 AUG 2016,06 AUG 2016,07 AUG 2016,08 AUG 2016,09 AUG 2016,10 AUG 2016,11 AUG 2016,12 AUG 2016,13 AUG 2016,14 AUG 2016,15 AUG 2016,16 AUG 2016,17 AUG 2016,18 AUG 2016,19 AUG 2016,20 AUG 2016,21 AUG 2016,22 AUG 2016,23 AUG 2016,24 AUG 2016,25 AUG 2016,26 AUG 2016,27 AUG 2016,28 AUG 2016,29 AUG 2016,30 AUG 2016,31 AUG 2016
Digital Enterprise(L3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Track Download,5500,11000,17600,6600,8800,8800,9900,6600,6600,24200,116600,22000,3300,126500,15400,8800,9900,0,18700,25300,66000,26400,8800,23100,14300,3300,29700,44000,0,3300,47300
LangitMusik BB Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LangitMusik Flash Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LangitMusik Unlimited,0,0,3300,0,3300,0,3300,0,0,0,0,,0,11000,,0,0,,3300,0,0,0,0,0,0,6600,0,0,0,,3300
Music Package,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMS Content(L3),,3300,4400,3300,4400,2200,7700,7700,2200,11000,5500,,5500,11000,4400,2200,3300,4400,3300,,8800,9900,1100,1100,7700,2200,3300,2200,9900,7700,
MMS to Email,3300,1650,6600,18150,13200,6600,1650,9900,9900,11550,4950,19800,3300,6600,1650,11550,8250,3300,1650,19800,9900,8250,1650,8250,11550,9900,4950,8250,6600,4950,4950
Mobile Newspaper,,,,,,,,,,,,,,,,100000,,,100000,,,,300000,,200000,,,,,,100000
Domestik MMS MO Eksternal,267750,289500,335250,253000,282750,284000,245000,263250,376750,303500,310750,265750,321500,269500,240500,293740,257250,276000,273500,278250,289250,290000,307250,275250,279000,294500,271000,232750,286250,328750,277133
Domestik MMS MO Internal,2367400,2238500,2541710,2338750,2197329,2171000,2197000,2290328,2257700,2179250,2139750,2372250,2294652,2236250,2173500,2199750,2346500,2245350,2218531,2229500,2045250,2327500,2308000,2385356,2189250,2292450,2207250,2083500,2217500,2234065,2205750
International MMS MO,76000,58000,72000,60000,94000,94000,90000,78000,108000,132000,84000,148000,78000,78000,76000,112000,124000,80000,72000,62000,78000,36000,74000,78000,100000,122000,56000,82000,80000,94000,76000
Microcampaign(Other VAS Service),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
