,01 OCT 2016,02 OCT 2016,03 OCT 2016,04 OCT 2016,05 OCT 2016,06 OCT 2016,07 OCT 2016,08 OCT 2016,09 OCT 2016,10 OCT 2016,11 OCT 2016,12 OCT 2016,13 OCT 2016,14 OCT 2016,15 OCT 2016,16 OCT 2016,17 OCT 2016,18 OCT 2016,19 OCT 2016,20 OCT 2016,21 OCT 2016,22 OCT 2016,23 OCT 2016,24 OCT 2016,25 OCT 2016,26 OCT 2016,27 OCT 2016,28 OCT 2016,29 OCT 2016,30 OCT 2016,31 OCT 2016
Digital Enterprise(L3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Track Download,42900,29700,3300,19800,12100,15400,14300,7700,5500,2200,6600,6600,3300,4400,12100,0,0,38500,49500,6600,8800,18700,145200,23100,6600,23100,13200,11000,24200,12100,17600
LangitMusik BB Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LangitMusik Flash Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LangitMusik Unlimited,0,11000,0,0,0,11000,0,0,0,0,0,0,0,0,0,0,0,11000,11000,0,0,0,0,0,0,0,0,0,0,0,0
Music Package,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMS Content(L3),4400,4400,2200,1100,3300,4400,3300,1100,8800,13200,5500,3300,4400,5500,6600,3300,1100,1100,4400,3300,1100,7700,5500,6600,7700,8800,18700,8800,16500,6600,14300
MMS to Email,9900,6600,16500,31350,8250,4950,8250,8250,,13200,4950,1650,9900,14850,4950,6600,11550,3300,19800,8250,11550,8250,4950,4950,9900,9900,16500,19800,9900,9900,8250
Mobile Newspaper,,,600000,,,,200000,,200000,,700000,,200000,,,,,,,,,,,,,,,,,,
Domestik MMS MO Eksternal,234250,233750,243250,228000,257250,249500,217000,246250,249500,261000,256000,249000,288000,265250,284250,277750,242000,249250,247750,244750,271250,261250,236000,308750,259000,194000,286000,232000,212500,232500,306500
Domestik MMS MO Internal,2115750,2028750,2017500,2057266,1863880,2133250,2093853,2118250,2112000,2085500,2040477,1940912,2051750,2097949,2137500,2031500,2063975,1934500,2009081,2033000,2239408,2015500,2050500,2202500,2114750,1984250,2029000,2160773,1965750,1987852,2184011
International MMS MO,78000,64000,90000,86000,68000,94000,128000,82000,72000,68000,60000,60000,62000,66000,76000,74000,68000,78000,92000,76000,68000,80000,94000,90000,90000,96000,80000,128000,74000,68000,86000
Microcampaign(Other VAS Service),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTT Services,6469290.99,7970174.14,7629068.07,7222679.04,6160510.94,6576284.48,7382017.2,8142521.46,6640501.14,7149292.08,7306410.64,7842547.22,8843567.01,7366216.31,8027761.04,6728046.79,9245287.73,5902076.32,4731437.74,7164037.82,7908645.52,9396242.43,7981114.17,10297528.95,6524485.85,4980406.81,8484344.96,9485868.38,10229645.8,4700611.68,6068394.39
Phonebook Backup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAS Content,510783,450497,423182,320559,323940,370991,460139,559379,380430,447019,330717,357443,445504,2245454,4160372,4046227,4268354,4360951,4156430,4215126,4033682,3868785,3391714,3750905,4393938,4656046,4223428,4522143,4483668,4199419,4629424
Content RBT,9567860,8895540,9114390,9470728,9297598,9943418,9773800,9271900,8806120,8991958,10153740,9380040,9978620,10310150,12836340,8910780,9389028,10927586,9711754,9275010,9888810,10463480,8820128,9209490,9760090,9539270,9722090,9531460,9273018,8837006,9655208
Emoticon SMS,,0,0,0,0,1100,,,,0,,0,1100,1100,3300,6600,0,1100,2200,0,,6600,0,1100,0,-330,0,5500,3300,4400,0
Other SMS Non P2P,29590,31680,38200,30855,27335,18480,23705,30470,43285,19525,25190,30045,27335,28600,23280,33605,23240,20405,20735,18920,36465,43780,28655,41690,29260,29150,29480,38610,42735,35145,33715
SMS Banking,7548550,4545500,9076950,8138600,8008100,7204450,7558600,5776350,4302800,7571350,7009900,7075500,6813150,7224450,5975450,4210050,7063900,6814750,7093200,6874250,7071850,5764950,3972600,7827050,8911550,7430850,8291400,8441950,6037850,4446650,8631540
SMS Content,2678215,2100096,2138310,2592593,1940830,2599600,2212548,2213220,1965601,1599905,2296743,2231600,1964935,2456695,2146190,2114010,2153170,2201171,1932710,1920295,2521873,2113205,2192905,1861360,2017800,2120425,1860274,1976650,1890784,1843560,1951320
SMS Donasi,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,1000
SMS Gift,4389000,3840500,10150500,5875500,5747000,4725500,4421000,4098000,4075000,10100000,5473500,5396500,5101000,4848000,4530500,3975000,10102500,6375000,5281000,4840000,4867000,4196000,4262500,10359000,5829500,5625000,4850000,4859500,4609000,4271000,9948000
SMS Group,,100,50,,,,,,50,50,,,,100,,50,,100,,,,,,,,50,,,,,200
SMS Music,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
SMS Newspaper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMS Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMS Pro,5317225,4947175,4913750,4608750,4219100,4895225,4635375,4601975,4627525,4715650,4770500,4555850,4006500,2194850,6000,6750,7150,17050,684700,648950,663900,641150,571850,698000,717300,722000,740950,641200,611350,606250,737750
SMS Profiling,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMS RBT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
