,01 NOV 2016,02 NOV 2016,03 NOV 2016,04 NOV 2016,05 NOV 2016,06 NOV 2016,07 NOV 2016,08 NOV 2016,09 NOV 2016,10 NOV 2016,11 NOV 2016,12 NOV 2016,13 NOV 2016,14 NOV 2016,15 NOV 2016,16 NOV 2016,17 NOV 2016,18 NOV 2016,19 NOV 2016,20 NOV 2016,21 NOV 2016,22 NOV 2016,23 NOV 2016,24 NOV 2016,25 NOV 2016,26 NOV 2016,27 NOV 2016,28 NOV 2016,29 NOV 2016,30 NOV 2016
Digital Enterprise(L3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Track Download,12100,30800,6600,0,17600,15400,3300,3300,15400,57750,82500,8800,13200,9900,44000,13200,27500,0,63800,9900,6600,0,6600,3300,19800,38500,61600,13200,15400,37400
LangitMusik BB Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LangitMusik Flash Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LangitMusik Unlimited,11000,0,0,0,0,6600,0,0,0,6600,0,0,22000,0,0,0,0,22000,0,0,0,0,0,0,0,6600,0,28600,0,0
Music Package,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMS Content(L3),2200,9900,8800,12100,9900,3300,20900,5500,12100,3300,3300,6600,9900,5500,9900,5500,7700,,11000,7700,13200,4400,13200,2200,5500,1100,3300,4400,12100,8800
MMS to Email,4950,16500,11550,14850,18150,11550,4950,18150,13200,6600,8250,,6600,9900,8250,9900,3300,1650,8250,4950,18150,4950,8250,8250,13200,8250,,19800,6600,11550
Mobile Newspaper,2000,4000,,,,,,,100000,,,,,,2000,,,,,,,,,,,,,,,
Domestik MMS MO Eksternal,252000,225000,240750,293500,239250,265500,220000,235750,261250,229500,312500,216500,246250,231117,219250,199750,126500,128250,240750,219000,248250,259750,262500,249250,217000,216750,261500,276000,228250,227250
Domestik MMS MO Internal,2119750,2036750,2045500,1993750,2246095,1900078,2095000,2105250,2178000,2003250,1898759,1938500,1956250,2076000,1985221,1890130,1300250,1051000,2192842,1969528,1952500,2017484,2064750,2038410,1845000,1779500,1844108,1970000,1992500,1800000
International MMS MO,78000,68000,84000,80000,70000,132000,58000,60000,60000,58000,82000,64000,94000,34000,108000,116000,40000,48000,66000,72000,54000,68000,68000,108000,48000,58000,60000,90000,48000,44000
Microcampaign(Other VAS Service),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
