,01 DEC 2016,02 DEC 2016,03 DEC 2016,04 DEC 2016,05 DEC 2016,06 DEC 2016,07 DEC 2016,08 DEC 2016,09 DEC 2016,10 DEC 2016,11 DEC 2016,12 DEC 2016,13 DEC 2016,14 DEC 2016,15 DEC 2016,16 DEC 2016,17 DEC 2016,18 DEC 2016,19 DEC 2016,20 DEC 2016,21 DEC 2016,22 DEC 2016,23 DEC 2016,24 DEC 2016,25 DEC 2016,26 DEC 2016,27 DEC 2016,28 DEC 2016,29 DEC 2016,30 DEC 2016,31 DEC 2016
Digital Enterprise(L3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Track Download,13200,8800,12100,18700,0,18700,8800,2200,3300,24200,8800,0,3300,26400,13200,6600,13200,0,0,7700,9900,22000,0,6600,7700,0,5500,0,0,13200,7700
LangitMusik BB Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LangitMusik Flash Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LangitMusik Unlimited,22000,22000,22000,0,0,22000,0,0,0,6600,0,0,0,0,0,0,22000,44000,0,0,0,0,22000,0,0,0,0,0,0,0,0
Music Package,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMS Content(L3),2200,4400,6600,7700,11000,14300,3300,12100,7700,3300,1100,2200,1100,3300,3300,3300,8800,6600,12100,7700,2200,4400,5500,2200,7700,9900,2200,4400,9900,17600,8800
MMS to Email,8250,11550,13200,6600,6600,8250,9900,9900,14850,31350,4950,24750,6600,11550,8250,4950,6600,4950,14850,9900,9900,11550,4950,11550,3300,1650,6600,1650,3300,4950,1650
Mobile Newspaper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domestik MMS MO Eksternal,181750,236500,241000,224500,268250,225250,227250,289750,217750,246500,300015,248750,289000,276000,249750,259250,257000,256500,241750,251750,251000,218250,218750,203750,262750,232250,209250,235500,207500,205500,445750
Domestik MMS MO Internal,2044500,1806000,1914500,1759750,1999891,2024004,2005750,1968000,2088500,1993737,2023750,2129000,2340500,2126300,2250000,2084500,1982263,1800000,1878000,2057500,1784500,1901250,1810413,1856250,1814500,1701750,1949500,1859000,1989240,1789386,3028500
International MMS MO,54000,124000,88000,76000,40000,68000,36000,78000,30000,52000,102000,62000,58000,52000,88000,86000,54000,88000,84000,34000,48000,56000,72000,44000,66000,72000,70000,72000,44000,48000,74000
Microcampaign(Other VAS Service),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTT Services,7254316.73,7915322.83,8501247.42,8501588.12,5417437.12,6081211.76,5406060.73,7207469.73,9034950.57,8884260.24,8366011.56,7618733.55,6894862.76,5647889.6,7290446.71,5229961.76,5386600.31,6161081.76,9501084.6,7025275.51,6376495.19,6390230.58,11139729.44,10462061.49,8055223.15,8099045.28,8257294.63,9137869.01,11799777.53,6884337.97,7670927.83
Phonebook Backup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAS Content,4959844,4820150,5297950,5058810,5309925,5126325,4759575,5233230,5089080,5356225,5072545,5543895,5362810,5007092,5454705,5781022.07,6437240,5736713,6126498,5727231,5594493,5640605,5570169,5532800,5575825,5329415,5479087,5159730,5749975,5627565,5973775
Content RBT,7621698,8494530,9144310,8878668,8829446,8533548,8537000,7919700,8455040,9149880,8520950,8663660,9058888,8214098,8084530,9241560,24827630,8384530,8834930,8697058,8339950,8163930,8423030,8498220,8660750,8976940,8592180,8439078,8159858,8471120,8815970
Emoticon SMS,,0,,,,,330,3300,0,,,0,,330,,,0,,,,0,,,,0,,,,,,3300
Other SMS Non P2P,38060,47245,48015,36850,42405,33440,45540,24200,41470,39765,54670,38445,45100,39765,38170,44110,41965,45280,54850,57420,59125,37345,43560,37015,31625,36315,39930,33550,42900,47245,37840
SMS Banking,11854460,9037650,7418450,5715030,9700000,9049550,10292740,8984060,9660000,6979800,5004410,5395380,8879960,8607930,8440920,8780250,6779460,5172330,8954030,9067970,8349960,8743280,11033580,7774560,5607150,6847590,9768030,9462650,8732390,9217120,7706480
