,01 JAN 2017,02 JAN 2017,03 JAN 2017,04 JAN 2017,05 JAN 2017,06 JAN 2017,07 JAN 2017,08 JAN 2017,09 JAN 2017,10 JAN 2017,11 JAN 2017,12 JAN 2017,13 JAN 2017,14 JAN 2017,15 JAN 2017,16 JAN 2017,17 JAN 2017,18 JAN 2017,19 JAN 2017,20 JAN 2017,21 JAN 2017,22 JAN 2017,23 JAN 2017,24 JAN 2017,25 JAN 2017,26 JAN 2017,27 JAN 2017,28 JAN 2017,29 JAN 2017,30 JAN 2017,31 JAN 2017
MMS Content(L3),19800,4400,6600,8800,7700,13200,7700,3300,4400,3300,1100,5500,29700,8800,5500,4400,13200,4400,7700,2200,1100,4400,1100,6600,7700,9900,5500,4400,5500,9900,3300
MMS to Email,6600,6600,14850,18150,8250,11550,1650,1650,9900,11550,21450,6600,6600,8250,8250,1650,16500,18150,3300,11550,4950,26400,11550,9900,21450,9900,13200,26400,14850,3300,8250
Domestik MMS MO Eksternal,447250,399750,454250,346500,400500,421500,415500,369000,340750,398000,387500,355750,303500,266250,374000,366750,368250,377750,304250,321250,439000,289500,360119,336500,318750,360750,368750,354750,273000,285750,251000
Domestik MMS MO Internal,3460500,3012039,3597750,3071600,3333000,3329250,3169750,2816651,2965500,3106650,3144500,2986250,3104000,2757750,2737000,2837500,2926750,2648554,2811500,2993750,2663000,2760844,2971500,2995136,2548775,2565805,2652917,2776600,2491286,2549500,2794250
International MMS MO,124000,110000,160000,126000,60000,94000,88000,74000,92000,72000,108000,136000,70000,64000,138000,74000,68000,144000,70000,76000,90000,106000,78000,62000,68000,102000,36000,68000,66000,90000,116000
OTT Services,10871004.96,9104372.96,10012511.03,10513300.58,10217931.15,11095919.07,7947394.88,11538050.14,8736809.6,9885609.13,8118994.96,10594429.85,10447723.78,8599007.84,10426583.29,7013906.87,7862994.09,5227860.23,11635759.38,10661514.47,7504869.26,7642828.89,10509043.84,8730444.52,10400095.14,5765332.64,10542739.47,8802377.59,10735027.85,10930526.87,7626703.37
VAS Content,8331785,8332850,8649400,8184907,8035980,7871360,8094600,7794600,8246145,7997340,8806765,8743127,9074070,8910125,9007430,9320780,9212090,9027740,9182985,9004240,9385015,9388975,9769755,9169915,9627220,8809570,9801865,9658565,9436480,9991284,9473285
Content RBT,8862658,9332440,8963780,9434990,8815180,8871348,9195910,8353900,8940810,8923258,8704150,8229988,8863378,8831750,8374858,8598960,8532890,8673530,8300194,8616460,8804830,8625060,8429040,8596620,8397280,8224470,8372210,8628408,8132910,8483820,8643658
Other SMS Non P2P,54890,52360,42640,51700,39135,44825,44440,39215,31900,40480,47095,36520,39600,33330,34650,44510,50930,32080,37675,47630,38335,33385,39270,38185,45045,37180,49940,45870,48070,53680,47025
SMS Banking,10019190,10529760,13197530,12613470,12150980,12034530,9619650,8007820,12189680,11711500,11221070,10623450,10729760,9152090,7313270,11540350,11285730,11130080,10645220,11248010,8932860,7247170,11025820,10571110,12254200,11246850,11971270,8503130,7559120,12574270,13812320
