,01 FEB 2017,02 FEB 2017,03 FEB 2017,04 FEB 2017,05 FEB 2017,06 FEB 2017,07 FEB 2017,08 FEB 2017,09 FEB 2017,10 FEB 2017,11 FEB 2017,12 FEB 2017,13 FEB 2017,14 FEB 2017,15 FEB 2017,16 FEB 2017,17 FEB 2017,18 FEB 2017,19 FEB 2017,20 FEB 2017,21 FEB 2017,22 FEB 2017,23 FEB 2017,24 FEB 2017,25 FEB 2017,26 FEB 2017,27 FEB 2017,28 FEB 2017
MMS Content(L3),3300,6600,4400,15400,5500,5500,12100,12100,8800,5500,4400,9900,26400,11000,3300,7700,12100,5500,11000,6600,4400,4400,9900,6600,4400,7700,3300,8800
MMS to Email,9900,11550,4950,3300,3300,13200,29700,4950,11550,4950,3300,3300,4950,9900,4950,11550,11550,4950,4950,29700,16500,1650,4950,23100,1650,9900,3300,23100
Domestik MMS MO Eksternal,243250,272750,299750,264250,281000,276250,336250,309750,299250,327500,305056,312000,354750,309250,412750,367750,345000,304750,218000,340000,321500,329000,298000,261000,247000,233476,323500,281500
Domestik MMS MO Internal,2594000,2627500,2568500,2497250,2461250,2642500,2415600,2710250,2805250,2732190,2645250,2422843,2729250,2514034,2568750,2757786,2446500,2478890,2407000,2375000,2372000,2389571,2169750,2487000,2458000,2269600,2169750,2179900
International MMS MO,72000,40000,66000,76000,42000,78000,64000,66000,74000,74000,56000,84000,82000,100000,68000,80000,50000,74000,58000,32000,46000,54000,78000,40000,104000,144000,70000,42000
OTT Services,13015304.84,7486977.85,8593210.79,7489131.68,6898582.82,7828377.87,6612308.5,7692906.01,9672565.3,9160200.06,8357066.79,9203959.28,9022448.12,6649737.04,13249659.47,5841176.24,8233986.02,7763749.38,10091720.01,6072938.24,7978115.03,8547848.25,10189623.44,10756228.85,10472052.28,5644938.64,10862918.12,10523307.65
VAS Content,9601236,9748900,9453715,9768275,9315760,9817810,9835135,9601030,9665780,9896060,10041230,9950105,10133615,10119700,9621185,9895485,9885415,9789815,9757525,9713122,9678510,9958595,9771005,9629005,10230741,9835775,9752845,10320825
Content RBT,8800178,8039630,8353950,8813158,8250440,8444360,8653180,8758978,8167560,8363800,8533266,8037260,8456380,8822220,8454550,8210550,8285040,8207330,7960320,8532800,8347420,8271290,7941440,8681900,8386830,7444740,8824090,8324830
Other SMS Non P2P,51810,61050,47795,33965,41855,40150,31625,39160,32890,56555,42020,24090,35765,38885,63635,32890,30030,32285,37510,29260,36575,44935,42955,37345,42200,55290,34430,45430
SMS Banking,17049000,12641720,11912840,9752070,7792670,12692570,11584890,11363430,10365400,11650940,8093900,7977840,11510760,11411420,8739170,11185780,10939500,8000540,7885630,12221870,10617180,10764270,10598470,12795120,9483900,7449740,13375120,15015880
SMS Content,3146060,7348445,3654458,3236323,24753735,8407405,3274625,3234480,8145193,3994850,2368125,43033205,2952583,3568700,2875770,2842915,3253690,3186468,2111045,3155040,3642435,4947195,22404275,4040803,2910065,2354820,2843110,4352335
SMS Pro,822250,817800,813500,780850,644600,846000,840200,869050,872000,862850,817850,720000,926100,904450,816400,845450,847150,808150,682500,847200,797000,889050,847900,844100,816750,701550,873750,857400
SMS T-Cash,1348,2700,1049,1650,1349,3149,1050,1796,2100,3297,1798,1800,3148,2399,1950,5839,4495,2545,900,4946,2100,2696,3144,3295,3140,2248,3148,1649
AS(Transfer Pulsa),2137500,1825500,2049000,1992000,1812000,1965000,2020500,1926000,2029500,2199000,2125500,2032500,1975500,2004000,1956000,1839000,2011500,1941000,1902000,1837500,1777500,1954500,2026500,1948500,1849500,1786500,1992000,2095500
Simpati(Transfer Pulsa),4992000,5689500,4752000,4327500,4062000,4495500,4414500,6241500,5506500,5139000,4792500,4861500,4620000,5656500,4821000,4387500,4621500,4471500,4036500,4456500,4047000,5755500,4200000,5064000,5902500,4458000,5593500,4980000
USSD Charging,270905,260265,251675,250820,236215,242595,248390,266765,252045,251175,240095,251900,253505,244910,234470,247855,240560,241460,241105,264330,276320,235980,245030,237975,225570,223185,225455,243795
3G Mobile TV,99500,155000,155000,296100,220000,197400,75000,407400,25000,124500,267400,401100,160000,158700,125000,193700,50000,235000,119800,398700,223700,148700,118700,68700,205000,175000,153700,295000
P2P Video Call,10000,10000,20000,12500,7500,10000,2500,10000,7500,15000,7500,12500,15000,12500,10000,10000,15000,17500,15000,20000,12500,15000,7500,7500,15000,15000,10000,12500
IVR Banking,309600,273150,224100,210600,163450,287550,233100,265500,243900,288450,305100,128700,386550,232200,189000,310500,286200,234900,228150,262350,368100,427500,383400,301950,217350,118350,267300,314100
IVR Content MDS,101200,149600,188050,192550,159950,184250,172550,161250,203000,162650,225850,201375,174100,191675,162150,148100,169375,167950,174900,240750,181500,222050,150250,183250,167000,119300,199450,169900
IVR Internal,41825,43400,31325,31850,31500,36050,35000,27825,36225,35875,32725,27125,31675,32900,33950,37450,40425,29225,28875,28175,30800,28175,37450,35175,24150,30975,35350,27650
IVR RBT,56525,64925,68600,52150,59675,63700,60375,66850,53025,46725,62825,64925,58800,57575,68250,64050,49700,73150,53725,55650,59325,54600,46550,47600,54425,54950,51800,61075
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
