,01 MAR 2017,02 MAR 2017,03 MAR 2017,04 MAR 2017,05 MAR 2017,06 MAR 2017,07 MAR 2017,08 MAR 2017,09 MAR 2017,10 MAR 2017,11 MAR 2017,12 MAR 2017,13 MAR 2017,14 MAR 2017,15 MAR 2017,16 MAR 2017,17 MAR 2017,18 MAR 2017,19 MAR 2017,20 MAR 2017,21 MAR 2017,22 MAR 2017,23 MAR 2017,24 MAR 2017,25 MAR 2017,26 MAR 2017,27 MAR 2017,28 MAR 2017,29 MAR 2017,30 MAR 2017,31 MAR 2017,
Domestik MMS MO Eksternal,258000,298750,269250,293250,200250,297000,293750,268000,302250,292750,255250,287500,334000,326750,231750,289000,324750,291500,305500,188500,224500,259000,216000,317750,376250,302500,248750,324500,271750,267750,215750,
Domestik MMS MO Internal,2285132,2657958,2400750,2406275,2210400,2373271,2476691,2345635,2287098,2235750,2137590,2175960,2398619,2308925,1886592,2383125,2447500,2373750,2399500,2336250,2401750,2395624,2343600,2068500,2519750,2111377,2218993,2272760,2522250,2407244,2237750,
International MMS MO,96000,52000,144000,54000,100000,94000,94000,82000,100000,52000,78000,94000,26000,70000,52000,114000,84000,52000,84000,36000,72000,68000,104000,48000,74000,110000,142000,146000,122000,92000,78000,
OTT Services,9167832.5,7399969.78,6048987.84,11544086.21,8981151.67,7246585.76,9554030.78,7759094.95,8933969.39,8511661.17,9840803.22,7336563.85,6057846.97,8460234.37,8660640.82,11266207.88,6087581.52,6206802.95,6403411.75,6352919.21,7868098.26,9537097.68,6309665.62,10014098.58,9238517.85,8443102.79,6682736.64,9325134.25,10849485.86,8158081.99,7762849.16,
VAS Content,10222240,9750735,9723010,10300000,9702980,10233435,9951310,9719770,9879080,9816160,10320990,9975670,10716150,9958135,10259090,10660621,10507140,10327385,10526110,10500610,10432585,10507565,11088725,10531515,11391380,10933733,11519225,10770993,11523990,11157725,10757749,
Content RBT,8298350,7800210,8454600,8140276,7692866,8302270,8227860,8330190,8130380,8904780,8359620,7998540,8425020,8910390,9000630,8284930,8551080,8191578,7776838,8207620,8716148,8798070,8228120,9060180,8353180,7834510,8357140,8726140,9097260,7937160,8293888,
SMS Banking,17309900,13639630,12873720,10258440,8261930,13454300,11726200,11396530,11096990,11854190,9348860,7081600,11942090,11102300,11397390,10929040,10908620,9391630,7257530,12002360,10711040,10807370,10905250,12762600,9548310,7789740,13078180,8474640,12882750,11878810,14327390,
SMS Content,3063965,2994518,3811915,4565640,3002090,3276120,6977968,5824580,18202305,7137140,3449088,2299600,3856499,4690838,3332400,3556340,4613690,3511910,2314320,3451020,4347728,4018420,4522350,7598423,17504980,3237435,4736928,4993190,3593300,4133355,4190205,
SMS Pro,808350,901700,810400,787500,745050,877250,855750,858500,855000,819650,798700,645900,868300,843000,786000,921450,796550,756100,706600,907650,821100,842150,825200,833000,792100,649050,828100,747700,925700,887600,890400,
SMS T-Cash,2399,1200,1800,1350,2397,1946,1800,1650,1348,2547,1349,1348,1348,2992,2393,2249,2100,1350,2099,2699,2248,1499,1800,600,8509,21617,2993,1799,3144,2250,1498,
AS(Transfer Pulsa),2016000,1873500,1911000,2092500,1894500,2059500,1894500,2266500,2136000,1954500,1927500,1780500,1900500,1924500,1867500,1864500,1914000,1956000,1825500,1936500,2014500,1969500,1900500,1920000,1908000,1963500,2071500,1900500,2208000,2005500,1840500,
Simpati(Transfer Pulsa),4578000,4444500,4603500,4651500,4140000,4425000,4471500,4599000,4024500,4567500,4251000,4122000,4453500,4309500,4224000,4285500,4419000,4290000,4038000,5388000,6360000,5761500,5541000,5155500,4501500,4359000,4579500,4224000,4704000,4539000,4767000,
USSD Charging,232710,249640,261075,234530,218295,253495,246105,235220,231110,237425,222830,216015,243580,244305,249110,262555,251435,249420,224730,231465,136270,279450,250465,247955,249125,246005,250940,248035,263660,250335,254200,
3G Mobile TV,215000,225000,278700,233700,303700,205000,370000,348700,155000,208700,100000,125000,25000,160000,25000,150000,98700,68700,100000,178700,420000,105000,210000,118700,50000,100000,63700,130000,180000,285000,150000,
P2P Video Call,10000,10000,10000,17500,15000,15000,10000,15000,17500,15000,12500,12500,10000,17500,10000,12500,17500,2500,7500,7500,7500,7500,15000,12500,12500,12500,10000,15000,10000,12500,17500,
