,01 APR 2017,02 APR 2017,03 APR 2017,04 APR 2017,05 APR 2017,06 APR 2017,07 APR 2017,08 APR 2017,09 APR 2017,10 APR 2017,11 APR 2017,12 APR 2017,13 APR 2017,14 APR 2017,15 APR 2017,16 APR 2017,17 APR 2017,18 APR 2017,19 APR 2017,20 APR 2017,21 APR 2017,22 APR 2017,23 APR 2017,24 APR 2017,25 APR 2017,26 APR 2017,27 APR 2017,28 APR 2017,29 APR 2017,30 APR 2017,,
MMS Content(L3),14300,4400,20900,12100,11000,16500,6600,7700,7700,8800,8800,12100,4400,5500,5500,4400,1100,13200,6600,4400,6600,5500,3300,5500,6600,17600,7700,5500,1100,20900,,
MMS to Email,3300,13200,3300,9900,6600,19800,3300,9900,6600,1650,3300,8250,16500,9900,19800,14850,9900,16500,11550,33000,4950,1650,6600,23100,11550,4950,6600,3300,11550,9900,,
Domestik MMS MO Eksternal,322000,242500,288750,307750,301250,225750,289750,230000,275000,267500,287000,194500,233500,217750,243250,258750,261500,307000,355000,248000,287250,196500,202250,231500,156250,244250,163750,203000,293812,231000,,
Domestik MMS MO Internal,2289000,2019000,2148750,1976500,2240600,2378500,2224591,2134250,1947049,2320750,2128250,2150750,2041750,1997159,1986750,1921500,2148000,2433500,2238878,2355410,2291500,2026500,1942499,1968508,2120450,2200271,2162000,2231750,2332500,1665540,,
International MMS MO,48000,72000,44000,60000,58000,52000,68000,54000,60000,70000,64000,80000,58000,30000,62000,150000,50000,86000,58000,68000,72000,46000,44000,80000,44000,56000,82000,78000,52000,52000,,
OTT Services,11099972.34,8888998.17,7484406.38,7775086.59,6230547.18,11214278.64,8638182.95,11853300.88,7321253.34,6748887.19,6292036.89,8232927.51,10260442.77,9295199.4,10371474.15,7252586.9,6690723.56,4830589.85,10982020.68,7572881.72,6631408.09,8002762.16,7870905.86,9873357.08,7910401.66,9972869.3,7896310.08,8205283.59,7927153.37,10109311.31,,
VAS Content,11202080,10303699,11330840,11196757,11715070,11462475,11612485,11987955,11160140,11751725,11688700,11553301,10983490,10896515,11629150,11225575,11873540,11309705,11479215,12023715,11379705,11827845,11320545,11012520,11796095,11663475,11713975,11687790,12335880,11211385,,
Content RBT,7812368,8398548,8015970,7954318,8302090,7710350,8031560,7818810,7634270,8024170,8082640,8209190,7711006,7735440,8046288,7622680,7796470,8101410,8070080,7745280,7964610,7582410,7161288,7478188,8160148,8369030,7345830,8099960,7519710,7285020,,
SMS Banking,14080860,7804160,14619580,13079900,12368710,11837420,12220360,9532240,7663910,12625510,11457640,11442870,12533860,8894650,9429360,7332480,12619490,11519740,11287460,11382350,11532160,9419090,7383230,7968150,13734940,12818780,12499890,14507250,11670730,8460780,,
SMS Content,4688270,5176248,26486380,5266885,5952265,3668825,5421073,3856091,5223575,3747818,5287395,3562860,4292195,4253390,3540915,2359080,3443085,4250775,3334148,3644925,5303585,3578285,2266899,2945890,4571440,3667410,4581230,6016670,3823175,2558175,,
SMS Group,49962,55286,46816,45199,50562,53950,55594,47047,43505,54736,54049,53450,56018,60962,43505,49511,55771,53642,51623,35959,51227,55413,58036,39809,48345,51810,45199,52476,50666,41784,,
SMS Pro,752150,620800,810250,761450,847500,811300,786750,743600,570950,787050,760950,782700,723000,611400,729500,640400,781900,731250,713700,697300,734350,661300,615500,629900,699550,758850,744400,870325,880750,764325,,
SMS T-Cash,2697,4944,2546,2096,3299,4049,1799,1649,898,1948,1650,2250,1649,2694,599,2100,2249,2847,2999,1350,1348,1049,1047,1799,1050,1350,2398,1198,1497,750,,
AS(Transfer Pulsa),2061000,1971000,1953000,1980000,2058000,2073000,2077500,1956000,1983000,1900500,1827000,2068500,1896000,1890000,1911000,1770000,1924500,1986000,2094000,1996500,1924500,1849500,2073000,1980000,1896000,1938000,1827000,1834500,2116500,1680000,,
Simpati(Transfer Pulsa),4540500,4113000,4227000,4426500,4281000,4254000,4230000,4446000,4096500,4476000,4390500,4231500,4233000,4054500,4365000,4125000,4255500,4017000,4251000,4186500,4098000,4221000,4101000,4263000,4558500,4912500,4425000,4173000,4024500,4015500,,
USSD Charging,260215,244645,249190,254515,257015,256610,258590,252545,232375,246570,259635,246620,244125,224205,248620,240520,245685,239220,236290,247875,236700,244215,226205,247915,247770,245380,256565,240570,235815,218160,,
3G Mobile TV,260000,240000,93700,93700,75000,240000,100000,390000,260000,283700,153700,311000,25000,50000,273000,159700,257000,226000,171000,37400,171000,374700,164700,214700,50000,75000,178700,110000,100000,75000,,
IVR Banking,414900,391500,351900,309600,360450,317700,276750,229950,191250,338400,216450,291150,222300,178200,239400,128700,310950,263250,222300,206550,284400,232200,222300,195300,325000,456750,419400,378450,306450,244350,,
IVR Content MDS,217000,226525,202700,197000,155750,125150,174250,177950,121850,158300,120900,189025,96700,90150,153550,175150,185950,151750,150300,138150,108000,159200,159025,247450,152400,174850,120200,116400,99700,92350,,
IVR Internal,56000,42525,9625,21350,28700,24150,31325,54950,38150,33250,42000,44625,42700,33775,45500,25375,21875,21700,15050,11200,14700,11900,20650,17675,14175,6825,10500,6475,13825,14175,,
IVR RBT,57750,71050,48650,51275,53725,59850,58800,62475,63175,52150,53375,60025,50925,58100,62475,69300,50400,52850,59675,68775,59675,70350,69475,44100,56875,59325,61075,75425,68950,63175,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
