,01 MAY 2017,02 MAY 2017,03 MAY 2017,04 MAY 2017,05 MAY 2017,06 MAY 2017,07 MAY 2017,08 MAY 2017,09 MAY 2017,10 MAY 2017,11 MAY 2017,12 MAY 2017,13 MAY 2017,14 MAY 2017,15 MAY 2017,16 MAY 2017,17 MAY 2017,18 MAY 2017,19 MAY 2017,20 MAY 2017,21 MAY 2017,22 MAY 2017,23 MAY 2017,24 MAY 2017,25 MAY 2017,26 MAY 2017,27 MAY 2017,28 MAY 2017,29 MAY 2017,30 MAY 2017,31 MAY 2017,
MMS Content(L3),12100,3300,1100,8800,9900,2200,15400,15400,9900,8800,12100,12100,6600,5500,19800,7700,5500,12100,2200,9900,3300,5500,14300,13200,5500,5500,16500,13200,17600,5500,9900,
Domestik MMS MO Eksternal,208500,178000,276500,235750,235000,235500,264000,247000,254000,313750,253250,233750,240500,242000,266250,220000,250750,241250,260600,210750,239250,264500,283750,246250,239500,250750,261000,206750,199250,203500,200500,
Domestik MMS MO Internal,2255000,2179500,2311017,2231240,2062250,2022802,2069500,2199200,2201708,2156091,2549370,2037500,2080500,1974000,2213275,2536225,2268125,2176000,2092500,2163000,1979250,2166250,2101428,2077000,1580000,2252500,1935750,1734500,2100500,1991500,1943500,
International MMS MO,68000,50000,98000,86000,46000,36000,76000,88000,40000,68000,70000,100000,96000,54000,26000,26000,78000,80000,66000,42000,72000,64000,78000,40000,34000,82000,54000,60000,100000,38000,28000,
OTT Services,10069393.28,8133686.22,10410357.07,9698382.43,9971192.36,12291656.85,10085266.97,7702380.4,10841135.2,7908872.11,8846002.95,8844374.15,11217005.65,9482666.75,7108630.81,7963304.66,9160295.73,7808015.94,9067657.6,8374359.93,9416324.41,6122238.07,6714276.48,8736718.16,13646660.57,10671501.19,8344282.08,8883212.63,11671847.61,7746092.69,8158781.32,
VAS Content,10991725,12166525,11852880,11379650,11301555,11207250,11223340,11884725,11688465,11712495,10986470,11719485,12086140,11267787,11930265,11540735,11662690,11289765,11496195,11477170,11283260,11702630,10524865,12172555,11431569,11677510,11141920,10958585,12497095,12071505,11867138,
Content RBT,7197740,7963738,8023790,7729220,7729540,7774920,7425060,7805870,8034790,8163210,8135880,7948248,8044810,7293900,8445730,8317540,8220030,8112718,8160740,8309240,7618340,7920088,8292790,8153700,8145848,8278930,7785580,7336400,8024460,8320800,8422850,
SMS Banking,10596030,15335290,14274410,13537700,12904910,9732570,7418490,12882160,12191210,12835420,8456900,11897100,8999340,7434130,12213790,11149980,11444520,11284580,11160600,9714580,7323050,12289840,11511410,13417170,9313510,12988710,9345310,7482590,13235030,13064580,14262420,
SMS Content,3360005,4356685,3324285,4761834,5984086,4205478,2466395,3767675,4192029,3495635,3248070,7455740,3681475,2873725,3587230,4327360,3602678,3622355,8476975,5456195,2860073,3942000,3992683,4150055,4295896,4461110,3778975,2994570,3685050,4949741,4246550,
SMS Group,29722,56903,33638,53251,51744,47542,41465,41553,43021,64075,53625,49451,56442,39875,49314,45546,38589,45034,43494,50936,68552,60869,46343,46145,48345,64548,52613,56254,46882,49352,50716,
SMS Pro,580575,723350,884325,762825,837125,795800,659450,832175,796700,833225,710875,810875,799000,758350,788150,786525,823425,838425,757175,768050,738250,855350,864250,822900,724075,704625,622900,625925,863175,778325,776450,
AS(Transfer Pulsa),1797000,2028000,1968000,2029500,1932000,2008500,1990500,1930500,1779000,1810500,1668000,1845000,1818000,1893000,1852500,1792500,1749000,1770000,1771500,1750500,1674000,1920000,1863000,1771500,1843500,2491500,1933500,1804500,1672500,1764000,1903500,
Simpati(Transfer Pulsa),3991500,4548000,4299000,4086000,4237500,4069500,3888000,4269000,4125000,4186500,4107000,4027500,3915000,3774000,4114500,3867000,4066500,3988500,4209000,4077000,3799500,4135500,4071000,4110000,3862500,4125000,3663000,3729000,4324500,4095000,4191000,
USSD Charging,220985,245470,255620,236515,246065,237630,215675,245300,256640,251570,229595,240310,255945,229250,249865,262975,251060,260925,267825,238770,226620,246655,245590,258675,229055,248210,236665,225125,245005,252795,244935,
3G Mobile TV,137400,130000,288700,225700,399700,260000,566700,150000,62400,125000,160000,50000,205000,315000,258700,68700,180000,130000,25000,200000,223700,180000,269700,68700,336100,105000,260000,205000,445000,135000,272400,
P2P Video Call,7500,12500,10000,5000,2500,5000,7500,7500,7500,7500,7500,12500,15000,5000,10000,7500,10000,10000,10000,5000,7500,5000,7500,5000,5000,7500,10000,12500,7500,5000,15000,
IVR Banking,224100,420750,308250,362250,133650,450000,220950,363600,306450,279000,251550,298800,315000,153000,368100,341550,276750,291600,151650,183600,218250,342450,352350,270000,261900,344250,249300,153450,276300,324450,388800,
IVR Content MDS,107500,144950,135000,130150,230350,127500,143300,140650,187100,215200,152050,127600,248150,169450,166450,139000,122400,166450,212050,211150,167250,174300,171750,140850,226650,152650,106150,124650,180750,142100,134400,
IVR Internal,16800,29925,33775,24500,16450,10150,10150,20650,23975,24675,17150,7000,4200,5250,17325,22400,3500,1050,525,175,27300,23275,24325,11900,8575,21175,15750,13825,10150,23800,24500,
IVR RBT,54950,73850,59150,52325,59150,49350,56350,46200,53550,57575,55825,53900,54075,68950,47250,55475,59325,58100,52325,59675,72450,46200,73500,79275,49875,57575,49350,67375,52500,61950,67375,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
