,01 JUN 2017,02 JUN 2017,03 JUN 2017,04 JUN 2017,05 JUN 2017,06 JUN 2017,07 JUN 2017,08 JUN 2017,09 JUN 2017,10 JUN 2017,11 JUN 2017,12 JUN 2017,13 JUN 2017,14 JUN 2017,15 JUN 2017,16 JUN 2017,17 JUN 2017,18 JUN 2017,19 JUN 2017,20 JUN 2017,21 JUN 2017,22 JUN 2017,23 JUN 2017,24 JUN 2017,25 JUN 2017,26 JUN 2017,27 JUN 2017,28 JUN 2017,29 JUN 2017,30 JUN 2017,,
Domestik MMS MO Eksternal,252250,334250,231500,279750,278750,192500,218500,278750,217000,188500,244750,218500,329000,259250,259287,314500,263000,237250,248500,268500,360500,236750,267250,581250,900750,572500,433500,357250,306000,385500,,
Domestik MMS MO Internal,1829000,1775500,1927250,1720000,2171500,1882500,1798585,2170750,1698750,1779658,1731750,1948000,1898000,1760351,2162750,1897250,1804752,1675900,1926500,1752750,2043500,2146750,1850250,4367000,6711700,3340000,2526750,2587911,2255500,2086100,,
International MMS MO,44000,76000,46000,36000,36000,32000,34000,26000,56000,60000,38000,44000,58000,62000,36000,30000,82000,78000,30000,76000,58000,88000,100000,80000,134000,110000,82000,104000,88000,68000,,
OTT Services,12774919.3,11144117.12,10869224.88,8992010.65,13186744.09,9741384.84,8227031.47,12564515.7,11499148.34,11230019.58,8966768.21,9864419.12,10639120.67,10170523.65,12674681.36,12429536.62,9786263.22,10868583.92,14779176.65,14904881.15,13961154.32,13766576.52,15479800.93,19519962.96,13273608.09,22255555.46,19308046.98,18519178.93,15223637.14,19088490.67,,
VAS Content,11442535,11057420,10960140,10539255,11739065,11555200,11265355,11409725,11718185,11411465,10851545,11969799,12254255,11672600,11793329,11941310,12169385,11101080,12581890,12359195,12429668,12847130,12092630,12390770,9627125,10902855,12280545,12079139,11955770,12032625,,
Content RBT,8349950,8211130,8296110,7450258,8431908,8392410,8610530,8339710,8374680,8262930,7469000,8739288,8229000,8820580,9035678,9000860,8722010,7774760,9275370,9708210,9194090,9871530,9961990,9905950,9517100,9837130,10238630,10092908,10391550,10042898,,
SMS Banking,13225120,15457520,10835920,8435630,14523740,13311190,12659820,12328560,13847580,11059290,8620260,14058420,13489610,13919200,13954940,15547610,12942820,9725070,15859200,17380280,17235020,19123540,15868260,14297240,6333590,7178350,7239090,7986870,8552960,9737660,,
SMS Content,4075780,4536363,4251005,3471475,4238769,4505608,3994165,4022605,4277740,4296035,2945335,3977215,4632026,4553400,4114183,5714600,4439625,2911205,4434130,5240535,4353764,4683785,5746955,5232608,3970745,5064930,6024998,5138680,5468560,4610890,,
SMS Group,49038,44187,66440,66567,60159,48511,37653,44792,49484,47344,53422,51167,63740,47080,64152,63976,79118,39688,41217,51387,42818,40997,47201,67821,58301,62657,57701,38720,42119,51876,,
SMS Pro,725475,808775,777700,697800,832300,817825,819075,825025,826850,760775,646050,766025,786750,810725,776900,726500,740175,669150,717125,747650,784325,774575,668700,822725,786725,603175,558050,623325,697525,621850,,
