,01 JUL 2017,02 JUL 2017,03 JUL 2017,04 JUL 2017,05 JUL 2017,06 JUL 2017,07 JUL 2017,08 JUL 2017,09 JUL 2017,10 JUL 2017,11 JUL 2017,12 JUL 2017,13 JUL 2017,14 JUL 2017,15 JUL 2017,16 JUL 2017,17 JUL 2017,18 JUL 2017,19 JUL 2017,20 JUL 2017,21 JUL 2017,22 JUL 2017,23 JUL 2017,24 JUL 2017,25 JUL 2017,26 JUL 2017,27 JUL 2017,28 JUL 2017,29 JUL 2017,30 JUL 2017,31 JUL 2017
MMS Content(L3),3300,9900,9900,3300,4400,11000,13200,8800,7700,3300,3300,22000,12100,8800,15400,7700,3300,34100,8800,5500,3300,4400,1100,1100,12100,26400,20900,8800,11000,7700,6600
Domestik MMS MO Eksternal,302750,348500,278000,319750,343500,313750,363250,339250,287000,218500,309000,220750,228750,258500,245000,271250,203500,280000,214000,138750,189500,178750,142250,204000,252250,162250,238000,205250,211750,221250,184000
Domestik MMS MO Internal,2122750,2147550,2357500,2412500,2371000,2284250,2239850,2403744,1995800,2133250,2347500,2436750,2142750,1973500,1984750,1808607,1863750,1988000,1827500,1534000,1569200,1751000,1535500,1900120,1833000,1817990,1870050,1820000,1578000,1568250,1815500
International MMS MO,60000,44000,52000,10000,68000,44000,34000,54000,66000,66000,42000,50000,26000,50000,46000,104000,36000,40000,62000,44000,58000,30000,50000,62000,40000,84000,94000,56000,60000,44000,34000
OTT Services,15866267.31,13507445.44,9779722.2,11792092.47,18656951.45,16227405.76,17125846.52,17896692.81,10724179.65,12366658.45,10784184.3,10821433.38,12179280.9,10933845.32,12224639.79,9926773.57,11980853.8,10875519.08,10715298.31,8453512.56,11299963.34,12020320.1,12786224.07,10541004.74,10329349.32,12084627.61,10483864.14,16439385.84,16632472.31,8585735.6,17171339.73
VAS Content,12383080,12099455,12929380,12468185,12338580,11952380,11626560,11699230,11235405,12334030,11460090,11583760,11524285,11162290,11043720,10649590,11053640,10959700,11275050,10934135,10564100,10676165,10427520,11140090,10812705,11058100,11152707,11038420,11003000,10501107,10909030
Content RBT,9774100,8961300,10356850,9639690,10114058,9731160,9543160,9119160,8708700,9218780,9474460,9563960,9135398,9593150,8801320,8565220,9345718,9519080,9663560,9423100,9421008,9100190,8575480,9377120,9317600,9129340,9104210,9077690,9165268,8673960,9154260
SMS Banking,12297510,8318080,15680500,15570650,15186360,13252240,12805960,10072020,8148270,12979480,12221660,11960740,11552550,11263180,9628680,7666930,12371880,12005510,11810070,11411680,11289140,9312180,7618820,12307740,13855690,12944390,12312110,12933560,9926210,7897540,14168720
SMS Content,4282918,3203716,4609120,5340930,4691235,5068575,5083570,4721985,3303885,4746350,5648935,4787695,4372065,4619912,4108630,2681735,4111155,4586498,4196445,4473975,4395725,3932900,2886060,3960885,4815320,3797873,3842050,4659165,3892988,2672475,3757235
SMS Group,41965,54923,50116,41806,34425,38808,50908,48917,33572,41580,42901,41861,50952,43263,45463,41195,44638,37087,32775,51310,38885,32687,26950,22935,23485,28952,35343,37164,37708,27874,30569
