,01 SEP 2017,02 SEP 2017,03 SEP 2017,04 SEP 2017,05 SEP 2017,06 SEP 2017,07 SEP 2017,08 SEP 2017,09 SEP 2017,10 SEP 2017,11 SEP 2017,12 SEP 2017,13 SEP 2017,14 SEP 2017,15 SEP 2017,16 SEP 2017,17 SEP 2017,18 SEP 2017,19 SEP 2017,20 SEP 2017,21 SEP 2017,22 SEP 2017,23 SEP 2017,24 SEP 2017,25 SEP 2017,26 SEP 2017,27 SEP 2017,28 SEP 2017,29 SEP 2017,30 SEP 2017
MMS Content(L3),8800,5500,8800,4400,11000,7700,5500,2200,12100,6600,14300,9900,16500,13200,9900,30800,9900,7700,6600,9900,14300,29700,3300,2200,4400,1100,3300,6600,1100,2200
Domestik MMS MO Eksternal,160250,171750,145000,218750,220250,179250,195750,208500,183750,133250,224000,186250,157250,165000,159250,182000,150000,174750,169500,138750,131750,161250,156500,172500,239720,180500,181000,189250,184250,164750
Domestik MMS MO Internal,1503500,1592250,1435000,1789000,1666250,1692622,1679500,1622562,1640250,1541000,1495218,1504250,1709984,1568500,1602250,1625750,1404250,1748750,1510000,1473791,1390500,1582989,1576500,1366500,1497750,1692500,1542665,1418497,1503950,1535500
International MMS MO,42000,54000,28000,20000,60000,46000,16000,48000,44000,32000,34000,36000,64000,48000,26000,18000,56000,36000,10000,36000,42000,76000,30000,22000,32000,30000,18000,46000,16000,36000
OTT Services,16864648.83,16239405.81,10751652.33,14142421.92,12354934.75,11322289.8,9232110.09,8736277.92,11390669.42,10086729.93,9062226.24,14024188.35,12445118.82,10536407.34,13685205.5,11310216.24,11544333.38,9557735.31,10818229.96,9825086.97,11050025.3,10984017.17,8228480.18,14615400.19,8966354.11,9929109.21,10796910.53,10506569.15,11713523.09,12407275.32
VAS Content,10385165,11326230,10794892,11183040,11198200,11192432,7541917,10089660,10241951,9431105,9767160,10017305,10182289,9921310,9423475,9828235,9266260,9992945,10420970,11246136,11133280,11253651,11569420,11010535,11594480,10594526,11355580,11308184,11244687,11832942
Content RBT,11217860,11174680,10558240,11127600,10802670,10689580,11093520,10825490,11050320,10450610,10746400,11746090,11194380,11631000,11588060,10381360,10026228,12931930,12000670,11033510,11057710,11253610,10798750,10765050,11355910,11230670,11973348,12671760,11659538,11744540
SMS Banking,11784840,9353510,7973830,16055170,13728600,12903360,11982080,12665890,9614190,7994150,12314380,11527620,11097690,11217250,11159250,9248040,7454860,11358930,11330920,11902300,8384180,11440560,9115210,7379090,13828040,11774290,12051660,12678100,13410190,10928760
SMS Content,4432838,3676548,2614895,3495275,4338090,3690565,3451510,4429620,3655178,2711815,3764545,4484110,3714070,3621685,4642226,3632235,2884545,3475465,4397020,3754920,3732730,4256035,3757975,2503110,3923385,4426338,3891630,3753955,4589493,4035165
SMS Group,37505,33704,66913,35585,32995,34915,47982,37301,38368,33242,32681,26015,48989,30866,55517,41520,31634,40887,35926,110820,49929,90365,37752,64592,46679,37686,44946,36091,54351,30382
SMS Pro,541775,694375,677450,808150,747275,816350,813700,771625,735750,678775,837075,779075,774600,743775,701425,726875,648300,728400,731900,747425,609175,701525,665925,606225,708975,652775,756050,725875,675175,652300
AS(Transfer Pulsa),1705500,1740000,1711500,1806000,1704000,1740000,1662000,1738500,1704000,1653000,1761000,1753500,1753500,1743000,1794000,1710000,1608000,1755000,1687500,1678500,1657500,1872000,1807500,1798500,1794000,1804500,1986000,1794000,1765500,1846500
