,01 OCT 2017,02 OCT 2017,03 OCT 2017,04 OCT 2017,05 OCT 2017,06 OCT 2017,07 OCT 2017,08 OCT 2017,09 OCT 2017,10 OCT 2017,11 OCT 2017,12 OCT 2017,13 OCT 2017,14 OCT 2017,15 OCT 2017,16 OCT 2017,17 OCT 2017,18 OCT 2017,19 OCT 2017,20 OCT 2017,21 OCT 2017,22 OCT 2017,23 OCT 2017,24 OCT 2017,25 OCT 2017,26 OCT 2017,27 OCT 2017,28 OCT 2017,29 OCT 2017,30 OCT 2017,31 OCT 2017,,,
MMS Content(L3),5500,6600,4400,16500,12100,6600,2200,6600,5500,23100,5500,17600,13200,6600,12100,26400,8800,23100,3300,14300,4400,15400,4400,11000,11000,4400,6600,14300,3300,14300,7700,,,
Domestik MMS MO Eksternal,167000,193750,188250,143000,144750,194500,198750,112000,177000,199250,234750,213250,142500,131250,163250,160500,114000,186000,221500,140750,143500,258750,159500,160250,161250,201500,204000,137315,156750,163000,133000,,,
Domestik MMS MO Internal,1600000,1548750,1688000,1541000,1532750,1395000,1578500,1457746,1495750,1562000,1283500,1350750,1369750,1351250,1361000,1455250,1410000,1470500,1515250,1231500,1365000,1498000,1419468,1404500,1344213,1320000,1499750,1393750,1149750,1389750,1575500,,,
International MMS MO,22000,18000,18000,56000,32000,20000,28000,34000,24000,46000,46000,38000,32000,10000,40000,48000,42000,50000,34000,26000,22000,14000,16000,50000,46000,22000,14000,10000,36000,40000,30000,,,
OTT Services,12231553.57,10684188.97,11646225.24,12487687.04,12264423.89,14163818.65,9468150.83,9338888.97,12598445.79,10286278.85,11471788.44,11423133.26,9200115.02,9424360.88,9670424.03,11641284.03,8745480.97,8100405.63,10752477.07,10377213.36,9323990.49,12377849.94,9374149.14,10744352.89,9900915.04,11218060.01,11335560.89,9201341.74,10491207.53,9489092.18,10290379.77,,,
VAS Content,11057670,11140507,11198975,11397830,10986390,11521396,11542170,10974865,11700400,11103543,11021770,10785650,10406495,9094575,9071621,11117600,10665301,10467604,9062065,11098930,11001451,10294870,11123785,11016312,11095970,11047690,10872426,11172500,10631910,10984390,10979430,,,
Content RBT,12140740,12175970,12629700,13078788,12270880,12363730,12142730,11778030,12159730,12373680,12512720,12810930,12485108,12316040,12401670,11384450,12106710,14027750,13441726,13075250,12648680,12261700,12482800,12575148,12820830,13220570,13104300,10724170,14892460,12664850,13779750,,,
SMS Banking,11913990,15483920,13225360,12420090,12310170,11807890,9302290,7509140,12327000,12191580,11900510,11092570,11136120,8986060,7396760,11817880,10794130,10914590,11659290,12570610,9866530,7377040,11518110,10911900,13255910,11778010,12451610,9989010,7905410,13290170,14109820,,,
SMS Content,2730400,3756820,5158505,4074690,4010810,5307420,4289913,3136565,4624885,5320096,4304280,4610388,5160701,4467120,3396970,4869055,5113952,4786940,4817216,5510660,4989740,3384173,4480096,5690400,5132858,4488451,6155255,4789435,3911730,4772810,5991250,,,
SMS Group,52954,38819,28138,40755,25674,31746,42709,21593,91010,34067,24442,48103,25163,27199,32390,35196,45112,31471,27748,41272,32643,27775,29117,22121,30797,37488,39710,29931,43461,22138,47257,,,
SMS Pro,580350,674650,680125,699825,749700,671050,685425,654325,753075,712475,681600,708200,650275,648900,581675,743950,649850,680050,673450,623350,673725,594500,684525,681650,670800,666225,634750,626825,557950,726250,761675,,,
AS(Transfer Pulsa),1717500,1780500,1698000,1726500,1687500,1812000,1788000,1587000,1767000,1773000,1759500,1626000,1678500,1621500,1576500,1845000,1668000,1633500,1668000,1765500,1590000,1636500,1603500,1744500,1659000,1662000,1801500,1827000,1573500,1737000,1854000,,,
Simpati(Transfer Pulsa),3670500,3820500,3867000,3748500,3762000,3817500,3769500,3796500,3705000,3904500,3766500,3597000,3646500,3712500,3529500,3834000,3658500,3681000,3606000,3687000,3675000,3664500,4077000,3910500,3870000,3768000,3585000,3790500,3529500,3964500,3976500,,,
USSD Charging,206470,236805,229965,229355,221480,228625,223185,209925,219975,227400,220385,224460,215610,217765,215935,223520,223900,228820,228760,211780,216420,207155,218200,209375,217660,219920,222195,215925,208925,219660,240895,,,
3G Mobile TV,117500,70000,116000,142400,87500,248700,102500,247400,112500,122500,215000,112500,277500,172500,240000,212500,211000,384900,147500,152500,243700,175000,289900,232500,92500,151200,126200,268700,92500,150000,266200,,,
IVR Banking,233550,369450,392400,342000,270000,477450,322650,157050,277650,355500,308250,358650,348300,307800,145350,313200,245250,396450,265950,277650,359550,200250,368100,274950,384300,387450,338850,299250,243450,411300,355950,,,
