services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
Domestik MMS MO Eksternal,145500,122750,156250,147250,125500,113250,161000,176500,143500,179250,162250,156500,109750,148000,130000,144000,108500,139750,143250,118000,144500,154250,140500,109500,101500,147500,123750,209750,121250,127250,147500,99000,119000,153250,110000,84000,109500,114250,156750,113500,,,,,,,,,,
Domestik MMS MO Internal,1699375,1507250,1457548,1327815,1411750,1551500,1402250,1335250,1314000,1540250,1475000,1320000,1214750,1540250,1314815,1387250,1366250,1230001,1295095,1554250,1186946,1260000,1314250,1185000,1421500,1199000,1180000,1358250,1366500,1424750,1426500,1270000,1207250,1115000,1263610,1208500,1383250,1304000,1254750,1019750,,,,,,,,,,
International MMS MO,36000,22000,48000,22000,24000,4000,62000,36000,28000,66000,56000,46000,22000,6000,40000,26000,52000,36000,28000,40000,38000,28000,12000,20000,32000,38000,28000,40000,20000,32000,20000,50000,26000,18000,24000,24000,16000,12000,52000,44000,,,,,,,,,,
OTT Services,16553347.36,11288924.56,11558774.6,13991972.24,10870004.31,9017451.38,9631979.86,11440995.99,9795799.7,14880300.74,14790252.13,13872523.21,11355009.43,11909987.29,14032752.09,14626404.94,14017385.25,9766580.59,10448053.93,8997792.43,19455991.36,17753709.41,17502539.84,12508365.12,18528308.73,18388260.57,16897685.7,16203000.57,13335198.28,13341280.96,16269925.85,14951079.83,13094081.48,14060141.42,15068042.33,13332249.37,12084872.89,15080236.14,13685493.78,16648967.46,,,,,,,,,,
VAS Content,10938110,10961260,10850139,11324860,10631856,11288940,10865530,10917250,10689262,11197520,11589303,10666070,11211550,11096649,11226604,10822990,11086350,10918730,10645590,10907113,10196295,10526550,10662240,10257620,10014625,10258820,9638700,10149890,9544950,10202970,10210450,10384050,10304820,9927040,10269735,10148560,10170025,10233420,10185050,10320525,,,,,,,,,,
Content RBT,13533850,13121290,11792990,12370930,13421200,13112880,13823150,13574996,13427920,13400030,12769790,13714520,13431550,13664640,12733160,12710720,14695340,13501340,14276020,13844010,14650350,14829708,15517310,14994430,15594150,14704030,15010820,15483930,15315850,15695458,15418480,15305956,15744960,14361600,14176690,15439600,15830868,15120100,15026000,13998600,,,,,,,,,,
SMS Banking,18821130,13081670,12660480,9923900,8356170,13028720,11984460,11792600,11739400,12502350,9522850,7733440,11752600,11769120,11442480,10987960,11354230,9203110,7740420,12841380,11273460,14706980,14290870,13579130,13217150,9911960,8052860,13569410,12538980,12084050,11555320,11681130,9121400,7616220,12207150,11667640,11587130,10856680,11451520,9479250,,,,,,,,,,
SMS Content,4277160,5378595,5548730,4869510,3280820,4520449,5564905,4873275,4652300,5609290,4595847,3507655,4130160,5456150,4183535,4698259,5047400,4675960,2920308,4386410,5022850,5819565,5179170,4919805,6418728,4551046,4328800,4330768,5941765,4280058,5111905,4928831,4834820,3203270,5173400,5024810,4893850,4230690,5085558,4213223,,,,,,,,,,
SMS Group,40871,28006,50265,29938,25724,35882,23337,64680,42070,19558,37120,33022,21379,32440,35179,20840,23815,36124,22919,22215,15708,40013,76626,12474,25361,33781,45859,32197,38918,23441,19272,62596,22352,26917,34464,35695,20130,30877,16297,25069,,,,,,,,,,
SMS Newspaper,110000,44000,11000,55000,16500,60500,49500,33000,104500,198000,132000,137500,55000,313500,11000,319000,55000,170500,44000,88000,115500,110000,22000,181500,93500,253000,110000,280500,159500,99000,165000,423500,82500,269500,77000,192500,473000,214500,137500,81400,,,,,,,,,,
SMS Pro,639575,774750,685325,625475,590975,726850,664700,660000,666675,628925,587450,506850,635250,661850,541225,697800,647875,636025,551625,694000,424225,495025,558050,518425,562525,502600,465175,566900,515350,559100,577650,507475,533350,464300,550900,586650,585525,614075,556650,536125,,,,,,,,,,
AS(Transfer Pulsa),1753500,1677000,1576500,1746000,1659000,1722000,1644000,1723500,1875000,1698000,1606500,1662000,1725000,1587000,1606500,1728000,1582500,1756500,1539000,1647000,1459500,1654500,1711500,1623000,1516500,1501500,1473000,1611000,1516500,1590000,1495500,1558500,1678500,1566000,1540500,1512000,1687500,1596000,1569000,1519500,,,,,,,,,,
Simpati(Transfer Pulsa),3933000,3732000,3663000,3775500,3576000,3739500,3621000,3720000,3685500,3588000,3684000,3553500,3798000,3628500,3532500,3658500,3672000,3664500,3564000,3697500,3636000,3880500,3717000,3781500,4092000,3772500,3390000,3583500,3489000,3502500,3717000,3463500,3513000,3657000,3679500,3472500,3618000,3702000,3613500,3324000,,,,,,,,,,
USSD Charging,226800,227395,166355,224030,214730,224285,215260,214870,211260,223825,211845,205090,209300,222625,218740,235685,235700,242500,217680,246275,157980,181200,182605,173795,179775,174130,166065,178480,184125,175070,172480,193445,187180,198295,189310,187425,193445,180625,196330,194865,,,,,,,,,,
3G Mobile TV,185000,100000,204900,67500,167500,131200,176200,42500,73700,293500,228700,123700,223700,185000,130000,40000,46200,236200,212500,127500,223700,708700,728700,736200,552500,520000,127400,619900,614900,458700,478200,595000,657500,104500,767500,805000,845000,1090000,775000,1035000,,,,,,,,,,
IVR Banking,400500,335700,265050,364950,269550,496800,411300,256050,420300,279450,204750,197550,330750,386100,225900,409950,237150,415350,186300,296550,289350,613350,363600,306450,395550,342450,185400,300600,251100,381600,210600,350100,241200,156600,282600,264600,297000,315900,247950,272700,,,,,,,,,,
IVR Content MDS,260400,244600,218800,203700,202950,212850,154600,216850,91350,205800,254150,239250,228750,172650,163250,297200,225550,164400,246800,134800,191550,253200,178550,149400,226000,171100,141100,114600,116500,168300,229200,110600,175500,159850,146350,144600,166500,127300,140900,116650,,,,,,,,,,
IVR Internal,34650,32200,9800,35000,23450,33600,31150,40950,30800,33250,24150,34475,32900,45850,30275,30625,32550,35875,28350,34475,27650,43750,6650,39550,36925,26600,24325,33950,10850,34650,29050,5950,5075,9975,11025,5950,12775,14000,16275,9275,,,,,,,,,,
IVR RBT,58450,51625,53550,60900,58975,72975,72100,53725,63700,63175,61950,57925,68075,49000,54075,72450,68075,55300,59850,52850,50925,42875,56175,51450,54600,44100,58275,49875,57400,47775,47600,54600,51450,49875,48300,39025,48475,50750,58625,50400,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
