,01 DEC 2017,02 DEC 2017,03 DEC 2017,04 DEC 2017,05 DEC 2017,06 DEC 2017,07 DEC 2017,08 DEC 2017,09 DEC 2017,10 DEC 2017,11 DEC 2017,12 DEC 2017,13 DEC 2017,14 DEC 2017,15 DEC 2017,16 DEC 2017,17 DEC 2017,18 DEC 2017,19 DEC 2017,20 DEC 2017,21 DEC 2017,22 DEC 2017,23 DEC 2017,24 DEC 2017,25 DEC 2017,26 DEC 2017,27 DEC 2017,28 DEC 2017,29 DEC 2017,30 DEC 2017,31 DEC 2017,
MMS Content(L3),2200,4400,12100,13200,11000,14300,2200,5500,4400,1100,4400,16500,4400,2200,6600,3300,9900,2200,4400,4400,6600,7700,1100,8800,3300,8800,4400,6600,2200,1100,8800,
Domestik MMS MO Eksternal,125500,148000,156750,138000,193250,154500,139750,150500,165000,145250,223000,135750,140000,148750,165750,130750,132750,131250,140250,121750,110250,137500,103750,131000,186750,158750,145250,156750,112750,103000,210000,
Domestik MMS MO Internal,1216750,1391500,1375250,1402250,1672250,1536500,1390000,1529750,1244750,1289250,1266250,1284250,1398000,1275250,1448250,1367250,1227573,1377250,1388750,1477000,1209500,1459250,1234179,1185836,1317157,1440694,1333000,1221750,1393750,1179500,1298250,
International MMS MO,38000,26000,26000,16000,16000,6000,60000,46000,26000,30000,24000,24000,32000,22000,42000,16000,20000,10000,8000,24000,40000,50000,36000,18000,12000,22000,32000,24000,32000,22000,56000,
OTT Services,15352691.92,12894641.16,12334962.34,10811128.24,12901079.43,10029845.04,12158231.63,11654779.15,11164706.27,11496633.63,15061306.29,14176029.05,13309564.24,13624137.59,14497134.05,11089540.49,12567728.09,11723339.37,17324361.96,14140792.5,11885203.78,13909656.26,12369093.62,12620329.65,16490780.52,14834247.14,15796944.84,11678185.68,18263750.57,14441765.77,14689646.85,
VAS Content,9472761,10860620,10096050,10976785,10534187,10561980,10551770,10404010,10933420,9983640,10493240,10087880,10506470,10417180,10695440,11203740,10290710,11042340,10752300,10969420,10865730,10966440,10915430,9858080,10437955,10390910,10833200,11072755,10737220,11391440,11140470,
Content RBT,14366330,13383970,12957280,14201700,14371830,14339490,14673398,14541450,14141750,14346800,14363580,15028748,15150080,14873320,14169210,13594790,15221140,15114880,15266020,15177800,14376280,14663050,14066910,14491400,14633130,14445860,14228830,15637490,14994100,15345220,15031760,
SMS Banking,13457490,9952600,7882680,15665930,14065710,12783490,12919320,13239940,9818260,7893440,12861890,12665770,12271070,11524760,12053380,9384040,7793500,12385790,11725260,12272860,11911980,14405030,10583840,8645580,8958520,9604180,14069900,14119310,14979860,11498750,9261460,
SMS Content,5106140,4778670,3681830,4711493,5435932,4564133,4452285,5478253,4889776,3676731,4153250,5838770,4606373,5101670,5442401,4848548,3446558,4702460,5351685,4954500,4487296,5566200,4741055,3641975,4086915,5722060,4183890,5027455,5495640,5256515,3768175,
SMS Group,27577,26928,33363,21357,17639,24101,19283,32318,75075,55935,26169,44902,35112,27522,24090,34001,28358,29128,42526,35707,37477,23177,22540,23232,14834,48565,35321,12166,20350,66171,23617,
SMS Newspaper,401500,203500,242000,445500,341000,209000,401500,154000,231000,143000,242000,121000,143000,555500,181500,115500,209000,49500,198000,286000,280500,159500,346500,126500,165000,104500,154000,121000,577500,704000,396000,
SMS Pro,397400,410650,350300,464225,443075,449025,407475,436925,403300,412375,559625,555850,522275,540350,527800,523500,442650,524550,561425,551625,540775,460350,516350,419250,456775,487025,501275,513325,516825,522650,467300,
AS(Transfer Pulsa),1600500,1719000,1687500,1702500,1819500,1596000,1629000,1801500,1548000,1570500,1810500,1581000,1620000,1585500,1581000,1588500,1707000,1735500,1671000,1701000,1737000,1546500,1639500,1509000,1509000,1572000,1642500,1725000,1713000,1740000,1744500,
Simpati(Transfer Pulsa),3703500,4048500,3561000,3900000,3720000,3664500,3688500,3549000,3553500,3574500,3979500,3523500,3604500,3615000,4012500,3519000,3535500,3985500,3679500,3913500,3769500,3817500,3904500,4231500,4188000,3631500,3969000,3778500,4231500,3843000,3969000,
USSD Charging,201055,203490,175880,199140,185035,185780,178345,184320,171865,164655,182730,179740,176400,172545,173795,175865,163665,179605,187730,183145,174845,179890,174265,161490,165160,170610,181280,177655,186960,176785,172080,
3G Mobile TV,152500,1395000,369600,2100000,1695000,1240000,1399900,1090000,1081200,147500,1156200,1285100,865000,746200,447400,442400,141100,646200,756500,692500,854900,801200,680000,188700,248700,506200,1013700,487500,499900,678700,307500,
IVR Banking,399150,413100,152550,718200,366300,368550,335250,374400,310050,124200,316350,242550,250650,206550,421650,331200,222750,250200,355050,347400,274050,487350,426150,364050,253800,313200,330300,532350,541350,421200,307350,
IVR Content MDS,109300,170300,178700,202650,148300,130100,127300,153450,210350,139050,158500,129400,118850,174550,163750,208100,197800,177750,237700,144700,250350,255550,191500,204500,141000,179350,294700,188400,107950,233200,194600,
IVR Internal,28000,28000,24500,33075,32200,30800,37800,39200,26950,30275,33600,34650,45325,35350,30975,31675,28000,30450,35700,31500,28525,31150,36750,14000,25725,24850,7875,33250,30450,9275,28350,
IVR RBT,46375,57575,65625,63350,50925,55825,50225,51800,75425,60200,44975,63875,65975,56700,55475,45325,57925,58800,57050,46725,56350,50050,55825,47075,49000,49700,54775,63175,51975,44275,54425,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
